Western Cape: Matzikama(WC011) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,29351335,0,31210078,34071184,7928072,2457952,2145617,12531641,2381746,2216214,860079,5458039,3540582,2168830,1987598,7697010,2643468,2163361,2080064,6886893,32573583,31210077,1363506,4.37,34071184
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,74644578,0,80964765,85086072,6707540,7310868,6509783,20528191,6733493,6845020,5021495,18600008,8785564,7933713,7430815,24150092,7597688,6360308,6684465,20642461,83920752,80964771,2955981,3.65,85086072
Service charges - water revenue,,13145309,0,13172285,14199438,922716,1131171,1043649,3097536,1375979,1695431,643203,3714613,3200338,1954625,1708217,6863180,1928775,1187161,875986,3991922,17667251,13172286,4494965,34.12,14199438
Service charges - sanitation revenue,,11939645,0,13089690,13218150,1158943,1093346,1106182,3358471,1081513,1054303,483144,2618960,1655542,1049046,1051774,3756362,1060643,1046458,1071669,3178770,12912563,13089696,-177133,-1.35,13218150
Service charges - refuse revenue,,9184008,0,11272314,13519071,1226948,1162384,1023755,3413087,1083226,1040518,443573,2567317,1708046,1076852,1073442,3858340,1068952,1072982,1068051,3209985,13048729,11272320,1776409,15.76,13519071
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,2626343,0,4007994,4109644,167946,168655,225158,561759,788759,373209,158249,1320217,329020,297331,270714,897065,238854,140031,182181,561066,3340107,4007996,-667889,-16.66,4109644
Interest earned - external investments,,231240,0,190000,500000,50517,62188,51508,164213,50212,37560,79880,167652,58758,53887,71481,184126,96261,74110,54548,224919,740910,190000,550910,289.95,500000
Interest earned - outstanding debtors,,2074946,0,1973863,1973863,177826,194949,207457,580232,213482,213141,43080,469703,401513,162769,140839,705121,186816,245549,208770,641135,2396191,1973868,422323,21.4,1973863
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1710830,0,1527500,2144500,135453,129111,166646,431210,225368,112477,170896,508741,156186,207196,195231,558613,139366,116035,139791,395192,1893756,1527504,366252,23.98,2144500
