Western Cape: Cederberg(WC012) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,30190343,0,32353733,32354749,4595393,2274349,2385791,9255533,2288137,2291506,2295988,6875631,2299474,2282092,2294015,6875581,2116887,2292420,2933955,7343262,30350007,32353733,-2003726,-6.19,32354749
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,62523528,71909000,6029797,6200031,5115472,17345300,5249609,4956963,8955832,19162404,1856621,4779997,5905624,12542242,5044987,5364810,5915979,16325776,65375722,62523528,2852194,4.56,71909000
Service charges - water revenue,,0,0,18378346,17192000,1058276,1348988,1332209,3739473,1562441,1749494,1694878,5006813,2531975,1801313,2042141,6375429,2009449,1679268,1527511,5216228,20337943,18378346,1959597,10.66,17192000
Service charges - sanitation revenue,,0,0,6637096,6701000,435462,611774,710105,1757341,537282,541440,514467,1593189,515125,573713,576037,1664875,474996,605303,630726,1711025,6726430,6637096,89334,1.35,6701000
Service charges - refuse revenue,,0,0,6552000,5974000,408253,522044,523138,1453435,523682,523612,524958,1572252,527134,525752,523642,1576528,525471,526359,530605,1582435,6184650,6552000,-367350,-5.61,5974000
Service charges - other,,78868882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,2818018,0,3331514,3380000,398405,222219,688701,1309325,441024,186116,116435,743575,194165,330193,353384,877742,166773,178401,92146,437320,3367962,3331514,36448,1.09,3380000
Interest earned - external investments,,242295,0,289380,217000,5859,29423,24114,59396,11062,11503,26779,49344,25658,19986,4,45648,35321,54794,21859,111974,266362,289380,-23018,-7.95,217000
Interest earned - outstanding debtors,,2717029,0,2572985,2943000,261401,243105,229806,734312,237199,247098,252681,736978,254302,228997,244516,727815,101764,246715,258079,606558,2805663,2572985,232678,9.04,2943000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,2590243,0,1326047,2732000,66010,70353,105899,242262,83413,74807,70935,229155,82708,61245,90526,234479,49271,61615,99205,210091,915987,1326047,-410060,-30.92,2732000
Licences and permits,,877274,0,0,909000,0,0,0,0,0,0,0,0,0,9805,269748,279553,-60710,35141,0,-25569,253984,,253984,0,909000
Agency services,,1245782,0,1965971,1306000,192293,176874,187530,556697,206362,173616,134081,514059,154843,140089,130688,425620,137285,104549,264899,506733,2003109,1965971,37138,1.89,1306000
Transfers recognised - operational,,48431297,0,44510000,71740850,16236000,634000,531000,17401000,8838292,11409850,0,20248142,11495513,739486,9581506,21816505,3619597,5856021,354699,9830317,69295964,44510000,24785964,55.69,71740850
Other own revenue,,2382812,0,1384000,1890543,171426,110399,123366,405191,159427,250915,123755,534097,186301,139301,204100,529702,97642,105790,1152605,1356037,2825027,1384000,1441027,104.12,1890543
Gains on disposal of PPE,,0,0,5600000,5600000,59298,-40000,-1754,17544,-17544,15018,-15018,-17544,522807,69079,0,591886,0,1974,0,1974,593860,5600000,-5006140,-89.4,5600000
Total Revenue (excl. capital transfers and contributions),,170363975,0,187424600,224849142,29917873,12403559,11955377,54276809,20120386,22431938,14695771,57248095,20646626,11701048,22215931,54563605,14318733,17113160,13782268,45214161,211302670,187424600,23878070,12.740093883086853,224849142
