Western Cape: Bergrivier(WC013) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,45148417,0,51739555,48030000,13269792,3191791,3245408,19706991,3153346,3259258,3374128,9786732,3275411,3273232,3260231,9808874,3271218,3266300,3289471,9826989,49129586,51739552,-2609966,-5.04,48030000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,70920005,0,80201400,81591400,6753541,7424457,6574830,20752828,5939436,6026096,6421847,18387379,6788634,7386806,6965996,21141436,7439461,6962199,7493116,21894776,82176419,76927400,5249019,6.82,81591400
Service charges - water revenue,,19585731,0,19985846,20348462,1316423,1346508,1376914,4039845,2355152,1195038,1797134,5347324,3986249,1397088,2576209,7959546,2426506,2683700,924110,6034316,23381031,18624846,4756185,25.54,20348462
Service charges - sanitation revenue,,8427345,0,8718500,9323000,756665,802273,907345,2466283,701717,793199,790632,2285548,826922,800279,932935,2560136,787203,800271,782495,2369969,9681936,6571500,3110436,47.33,9323000
Service charges - refuse revenue,,14078808,0,14619000,15560000,1263017,1337813,1346393,3947223,1173437,1328018,1325020,3826475,1321068,1324342,1467356,4112766,1319578,1311444,1306072,3937094,15823558,12001000,3822558,31.85,15560000
Service charges - other,,0,0,150000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9550000,-9550000,-100,150000
Rental of facilities and equipment,,3199895,0,3207000,3309000,187379,325982,475284,988645,284110,222090,595961,1102161,279756,191728,397168,868652,271331,185160,161437,617928,3577386,3207000,370386,11.55,3309000
Interest earned - external investments,,1285000,0,1000000,2000000,117772,129691,142294,389757,436149,182101,346013,964263,290166,281415,307960,879541,351038,336912,311164,999114,3232675,1000000,2232675,223.27,2000000
Interest earned - outstanding debtors,,3247079,0,2889000,2800000,232522,258462,291796,782780,88149,236161,291139,615449,289601,283778,465747,1039126,283144,197464,279506,760114,3197469,2889000,308469,10.68,2800000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3387818,0,1005000,3605000,766,142287,73022,216075,78770,115466,1055,195291,234643,2671,298836,536150,1736,192831,207195,401762,1349278,1005000,344278,34.26,3605000
Licences and permits,,1907374,0,1300000,1300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300000,-1300000,-100,1300000
Agency services,,1803158,0,1957780,1957780,141690,155067,208312,505069,173066,139212,198201,510479,146362,178355,189509,514226,111461,95157,215292,421910,1951684,1957780,-6096,-0.31,1957780
Transfers recognised - operational,,32866470,0,37007000,39016539,10881000,459000,0,11340000,1506270,9507000,0,11013270,0,2147189,8604990,10752179,0,568927,1448200,2017127,35122576,37007316,-1884740,-5.09,39016539
Other own revenue,,3687625,0,2538390,3028390,178397,210761,256989,646147,193455,271046,225144,689645,198304,336349,368173,902826,165913,290046,428637,884596,3123214,2538390,584824,23.04,3028390
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,209544725,0,226318471,232019571,35098964,15784092,14898587,65781643,16083057,23274685,15366274,54724016,17637116,17603232,25835110,61075458,16428589,16890411,16846695,50165695,231746812,226318784,5428028,2.3983992420178435,232019571
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,77010324,0,89315510,89441577,6898897,6293606,6741715,19934218,6769780,10437198,6674725,23881703,6923627,6856112,6651097,20430836,6703006,6714328,7484891,20902225,85148982,89315510,-4166528,-4.66,89441577
Remuneration of councillors,,4734966,0,4714000,4914000,398294,393336,390269,1181899,400776,398430,407126,1206332,389923,396001,394755,1180679,592740,388792,409790,1391322,4960232,4714000,246232,5.22,4914000
Debt impairment,,4484690,0,1902745,5103398,317124,0,158562,475686,158562,158562,158562,475686,158562,2559052,425282,3142896,425282,425282,425282,1275846,5370114,1902745,3467369,182.23,5103398
Depreciation and asset impairment,,14935312,0,17460000,15495038,2910000,0,1455000,4365000,1455000,1455000,1455000,4365000,1455000,-18721,1291255,2727534,1291255,1291255,1291255,3873765,15331299,17460000,-2128701,-12.19,15495038
Finance charges,,9589906,0,10189460,10559082,620743,0,376703,997446,310372,310372,3206047,3826791,324804,1000924,442629,1768357,387099,387099,3571081,4345279,10937873,10189460,748413,7.34,10559082
Bulk purchases,,54464890,0,61025000,62585000,6664096,728788,12113657,19506541,532166,4198461,8165764,12896391,707415,4604379,4871524,10183318,4723039,4792564,4511333,14026936,56613186,61025000,-4411814,-7.23,62585000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,7464732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,2560962,0,3070000,3170000,383750,27500,428500,839750,8500,377500,28750,414750,12250,358500,568500,939250,362750,407500,80500,850750,3044500,3070000,-25500,-0.83,3170000
Other expenditure,,35342821,0,43879160,45600534,3464804,2514571,3275179,9254554,3421082,3603341,3463005,10487428,2408118,3133513,3009292,8550923,2875015,3688183,6211003,12774201,41067106,43879160,-2812054,-6.41,45600534
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,210588603,0,231555875,236868629,21657708,9957801,24939585,56555094,13056238,20938864,23558979,57554081,12379699,18889760,17654334,48923793,17360186,18095003,23985135,59440324,222473292,231555875,-9082583,-3.9224152701804695,236868629
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-1043878,0,-5237404,-4849058,13441256,5826291,-10040998,9226549,3026819,2335821,-8192705,-2830065,5257417,-1286528,8180776,12151665,-931597,-1204592,-7138440,-9274629,9273520,-5237091,14510611,-277.07387555419604,-4849058
Transfers recognised - capital,,23308637,0,37606000,20426787,0,0,0,0,0,0,0,0,0,1859634,3715901,5575535,0,0,3140532,3140532,8716067,37605684,-28889617,-76.82,20426787
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
