Western Cape: Saldanha Bay(WC014) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,141923436,0,154380485,147673794,14249609,42367802,9134503,65751914,10804502,8104343,10262035,29170880,9841248,8157991,9631779,27631018,9759648,9548964,8893460,28202072,150755884,154380485,-3624601,-2.35,147673794
Property rates - penalties and collection charges,,6301642,0,5500000,3500000,241493,114458,250245,606196,403169,204284,154390,761843,244989,217949,239902,702840,234207,228729,325745,788681,2859560,5500000,-2640440,-48.01,3500000
Service charges - electricity revenue,,246713132,0,264375343,279637177,22297445,23018257,22558484,67874186,23329979,19793023,32941507,76064509,8012088,21679477,13275893,42967458,21117430,20898939,7611994,49628363,236534516,264375343,-27840827,-10.53,279637177
Service charges - water revenue,,102535616,0,97000000,100716506,8661449,8335399,8332509,25329357,7847093,8959602,8556223,25362918,10132520,11328156,11260813,32721489,10414354,9016670,-3229490,16201534,99615298,97000000,2615298,2.7,100716506
Service charges - sanitation revenue,,36950688,0,46465000,43815632,3602065,7529808,2019161,13151034,3023104,3577106,-10061140,-3460930,15716735,2667856,6970105,25354696,2924221,3139472,3840609,9904302,44949102,46465000,-1515898,-3.26,43815632
Service charges - refuse revenue,,36157150,0,42552265,41269071,3264781,3915869,3253453,10434103,3269201,3261245,3305976,9836422,3407100,3286410,3707420,10400930,3453252,3290491,3497570,10241313,40912768,42552265,-1639497,-3.85,41269071
Service charges - other,,-7995412,0,0,-9847287,0,0,0,0,-743483,-855790,1599115,-158,-849169,-777957,1627284,158,-964409,-940091,1904500,0,0,,0,0,-9847287
Rental of facilities and equipment,,11664969,0,11472309,12549547,697997,969495,1189748,2857240,1181351,1552215,1130610,3864176,1299595,1082937,1085765,3468297,1012206,821391,651955,2485552,12675265,11472309,1202956,10.49,12549547
Interest earned - external investments,,24503565,0,20500000,25300000,1901838,2215965,2251940,6369743,2487393,2288567,2381918,7157878,2420408,2363326,2498608,7282342,2520568,2572056,2460028,7552652,28362615,20500000,7862615,38.35,25300000
Interest earned - outstanding debtors,,2381413,0,2462575,6678250,345830,486252,566838,1398920,552937,548253,452832,1554022,548330,132167,544760,1225257,549013,626747,642639,1818399,5996598,2462575,3534023,143.51,6678250
