Western Cape: Swartland(WC015) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,70536912,0,75587172,73859686,13442167,7630351,4815876,25888394,5431693,5220571,5278248,15930512,6510847,5235722,5048133,16794702,4969126,4920716,4815659,14705501,73319109,75587168,-2268059,-3,73859686
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,173458143,0,189052652,188275877,16258172,16808195,15649262,48715629,14568921,14963928,15269108,44801957,15995141,14703515,15250055,45948711,15481207,15530427,17475751,48487385,187953682,189052648,-1098966,-0.58,188275877
Service charges - water revenue,,32613084,0,34803101,33787854,2260440,2108037,2064802,6433279,2610874,3348411,3660333,9619618,4866274,3840367,3907920,12614561,3576690,3145722,2584639,9307051,37974509,34803100,3171409,9.11,33787854
Service charges - sanitation revenue,,25373072,0,26836785,21176502,2791143,1827799,1890347,6509289,1934739,1922050,2014630,5871419,2045051,1911433,1924661,5881145,1974568,1917195,1936232,5827995,24089848,26836788,-2746940,-10.24,21176502
Service charges - refuse revenue,,19536465,0,20209922,16591863,2283507,1392441,1370335,5046283,1414456,1427521,1467125,4309102,1553727,1444149,1435385,4433261,1437434,1427271,1392317,4257022,18045668,20209920,-2164252,-10.71,16591863
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,3239177,0,3251636,3251636,204889,168950,290489,664328,732452,351225,194949,1278626,317418,284589,404346,1006353,242510,115912,105592,464014,3413321,3251640,161681,4.97,3251636
Interest earned - external investments,,12933876,0,9894295,9894295,41019,20599,19207,80825,14468,15536,23618,53622,3957546,17880,-4,3975422,29344,-2,12203238,12232580,16342449,9894300,6448149,65.17,9894295
Interest earned - outstanding debtors,,1813429,0,1339763,1339763,149507,145096,143808,438411,186039,147501,129997,463537,144311,134974,125404,404689,128362,145908,111989,386259,1692896,1339764,353132,26.36,1339763
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,23734391,0,4040515,25140515,615615,428297,457629,1501541,916755,522703,597284,2036742,570259,639730,557794,1767783,460765,517054,396700,1374519,6680585,4040520,2640065,65.34,25140515
Licences and permits,,3488091,0,3157256,3157256,368239,347530,325358,1041127,330610,284001,277918,892529,307779,284849,313596,906224,274119,265060,294434,833613,3673493,3157260,516233,16.35,3157256
Agency services,,2725004,0,2665832,2665832,285939,264761,286387,837087,283008,217700,255465,756173,265219,259673,254916,779808,220847,216223,294411,731481,3104549,2665836,438713,16.46,2665832
Transfers recognised - operational,,67090545,0,53426906,89722618,17058000,0,0,17058000,0,14364000,0,14364000,0,0,11671000,11671000,0,0,0,0,43093000,53426904,-10333904,-19.34,89722618
Other own revenue,,18716678,0,11669896,11809897,668925,1525458,1170279,3364662,1843316,1563901,1242617,4649834,1326325,1183882,1576944,4087151,1341869,1324099,2377923,5043891,17145538,11669892,5475646,46.92,11809897
Gains on disposal of PPE,,586195,0,200000,200000,0,0,18020,18020,2136295,0,1145746,3282041,0,100,2113176,2113276,168570,0,665006,833576,6246913,200000,6046913,3023.46,200000
Total Revenue (excl. capital transfers and contributions),,455845062,0,436135731,480873594,56427562,32667514,28501799,117596875,32403626,44349048,31557038,108309712,37859897,29940863,44583326,112384086,30305411,29525585,44653891,104484887,442775560,436135740,6639820,1.5224205198133955,480873594
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,128760380,0,141198654,145292617,8934296,9842399,9957332,28734027,10141172,15451046,10234103,35826321,10317054,10290821,9989591,30597466,10118188,10916959,10105349,31140496,126298310,140164126,-13865816,-9.89,145292617
Remuneration of councillors,,7702905,0,7254040,8450130,627691,627691,658875,1914257,647025,647025,647025,1941075,647025,647025,647025,1941075,1010371,683446,683446,2377263,8173670,8287662,-113992,-1.38,8450130
Debt impairment,,18912918,0,12112650,28162650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12112650,-12112650,-100,28162650
Depreciation and asset impairment,,69923153,0,76644995,76644995,6233841,12467680,6233841,24935362,0,6233841,6233841,12467682,6233841,6233841,6233841,18701523,12467680,0,6233844,18701524,74806091,76644996,-1838905,-2.4,76644995
Finance charges,,15107406,0,14643982,14643982,0,2932,2855,5787,2778,2699,7414838,7420315,2540,2459,2419,7418,2377,2041,7206392,7210810,14644330,14643978,352,0,14643982
Bulk purchases,,145166216,0,161610432,161610432,2957162,18730159,14300015,35987336,13682409,9630799,13906144,37219352,10219580,12417864,12093552,34730996,12575837,14225218,12807262,39608317,147546001,161610434,-14064433,-8.7,161610432
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,3352499,0,4025935,3697646,247843,237334,279540,764717,339107,298916,308554,946577,343750,284393,288524,916667,329923,253774,278394,862091,3490052,4025940,-535888,-13.31,3697646
Transfers and grants,,1974647,0,2083420,2083420,72103,283384,20948,376435,822675,63760,193899,1080334,5222,19565,65351,90138,176580,121967,151683,450230,1997137,2083416,-86279,-4.14,2083420
Other expenditure,,78834988,0,74513385,103705821,2650319,5019785,4282137,11952241,8174340,6896482,10719332,25790154,4726635,4084174,4661116,13471925,5780124,4680710,7924389,18385223,69599543,74514300,-4914757,-6.6,103705821
Loss on disposal of PPE,,9122078,0,2144153,2144153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144153,-2144153,-100,2144153
Total Expenditure,,478857190,0,496231646,546435846,21723255,47211364,35735543,104670162,33809506,39224568,49657736,122691810,32495647,33980142,33981419,100457208,42461080,30884115,45390759,118735954,446555134,496231655,-49676521,-10.010752135512194,546435846
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-23012128,0,-60095915,-65562252,34704307,-14543850,-7233744,12926713,-1405880,5124480,-18100698,-14382098,5364250,-4039279,10601907,11926878,-12155669,-1358530,-736868,-14251067,-3779574,-60095915,56316341,-93.71076386805993,-65562252
Transfers recognised - capital,,41255862,0,29166400,50019548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27666400,-27666400,-100,50019548
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,-1500000,-100,0
Contributed assets,,-2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,16243734,0,-30929515,-15542704,34704307,-14543850,-7233744,12926713,-1405880,5124480,-18100698,-14382098,5364250,-4039279,10601907,11926878,-12155669,-1358530,-736868,-14251067,-3779574,-30929515,27149941,-87.78004116779717,-15542704
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,16243734,0,-30929515,-15542704,34704307,-14543850,-7233744,12926713,-1405880,5124480,-18100698,-14382098,5364250,-4039279,10601907,11926878,-12155669,-1358530,-736868,-14251067,-3779574,-30929515,27149941,-87.78004116779717,-15542704
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,16243734,0,-30929515,-15542704,34704307,-14543850,-7233744,12926713,-1405880,5124480,-18100698,-14382098,5364250,-4039279,10601907,11926878,-12155669,-1358530,-736868,-14251067,-3779574,-30929515,27149941,-87.78004116779717,-15542704
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,16243734,0,-30929515,-15542704,34704307,-14543850,-7233744,12926713,-1405880,5124480,-18100698,-14382098,5364250,-4039279,10601907,11926878,-12155669,-1358530,-736868,-14251067,-3779574,-30929515,27149941,-87.78004116779717,-15542704
