Western Cape: Witzenberg(WC022) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,47327135,0,49753330,49753330,51927078,-477877,-201167,51248034,-319517,-409322,-363689,-1092528,-35991,-41443,-269634,-347068,-314005,-774287,-281869,-1370161,48438277,49753330,-1315053,-2.64,49753330
Property rates - penalties and collection charges,,1257609,0,819110,819110,106675,91610,104792,303077,145760,129177,97465,372402,132613,129864,77273,339750,99867,121788,114898,336553,1351782,819110,532672,65.03,819110
Service charges - electricity revenue,,156351992,0,183430440,183430440,15643998,13879499,14286911,43810408,11293743,10538046,11795794,33627583,12036017,14001996,17525226,43563239,17879601,17925529,13496284,49301414,170302644,183430440,-13127796,-7.16,183430440
Service charges - water revenue,,33737191,0,32450326,32450326,2116702,1829835,2089091,6035628,2289507,2178318,2756779,7224604,3437807,3425534,3463531,10326872,3146623,3527428,2183730,8857781,32444885,32450326,-5441,-0.02,32450326
Service charges - sanitation revenue,,16984152,0,15259682,15259682,1517005,1835003,2479501,5831509,1187923,1864112,1324882,4376917,1341643,1332304,1877270,4551217,1396549,1385560,1519554,4301663,19061306,15259682,3801624,24.91,15259682
Service charges - refuse revenue,,17220829,0,17550367,17550367,1533271,1526695,1773709,4833675,1373841,1511260,1521425,4406526,1527300,1536979,1685056,4749335,1650275,1592032,1622440,4864747,18854283,17550367,1303916,7.43,17550367
Service charges - other,,84809,0,459500,459500,1233,6169,6169,13571,2467,1233,9810,13510,0,53647,1000000,1053647,20975,98709,1233,120917,1201645,459500,742145,161.51,459500
Rental of facilities and equipment,,7761693,0,7267490,7267490,581980,753635,519820,1855435,766499,830119,621340,2217958,974205,996451,952793,2923449,509109,514386,431118,1454613,8451455,7267490,1183965,16.29,7267490
Interest earned - external investments,,3268070,0,2199230,2199230,119264,278784,264515,662563,177710,171187,244166,593063,843031,139808,221362,1204201,285502,1201258,358081,1844841,4304668,2199230,2105438,95.74,2199230
Interest earned - outstanding debtors,,6076842,0,4650710,4650710,571044,624034,463546,1658624,611556,625261,602852,1839669,647685,676995,679244,2003924,676601,696322,710160,2083083,7585300,4650710,2934590,63.1,4650710
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,7625021,0,5436900,8436900,101010,84194,109239,294443,228945,166562,216946,612453,203954,242163,127916,574033,131475,205367,261536,598378,2079307,5436900,-3357593,-61.76,8436900
