Western Cape: Drakenstein(WC023) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,173405907,0,200747362,199378513,202093139,-137052,232564,202188651,-104530,108190,-1977034,-1973374,-1883961,493028,-624715,-2015648,-105330,12715,704245,611630,198811259,200747362,-1936103,-0.96,199378513
Property rates - penalties and collection charges,,1580988,0,1267200,1267200,124538,128230,132195,384963,187812,162257,148872,498941,118112,136659,137366,392137,124761,125753,126670,377184,1653225,1267201,386024,30.46,1267200
Service charges - electricity revenue,,713156994,0,805556835,802175802,68244474,69979094,73100313,211323881,61368958,57810735,65663133,184842826,65048346,57745525,67655283,190449154,69523958,62864044,63422315,195810317,782426178,805556835,-23130657,-2.87,802175802
Service charges - water revenue,,118914110,0,134515322,137596788,7012868,8058876,9609131,24680875,8403858,11341888,13981297,33727043,16258043,14864488,16002145,47124676,15603618,14460814,10796721,40861153,146393747,134515320,11878427,8.83,137596788
Service charges - sanitation revenue,,51338037,0,55077735,69809731,58890986,2492984,254632,61638602,-262579,-47625,-746750,-1056954,77331,-2464358,3210974,823947,548079,519292,-954439,112932,61518527,55077737,6440790,11.69,69809731
Service charges - refuse revenue,,62968446,0,69419049,90826910,82099198,-1287335,-42171,80769692,-1418412,-1070278,-1166898,-3655588,422779,-9143879,626177,-8094923,494560,678762,-629636,543686,69562867,69419049,143818,0.21,90826910
Service charges - other,,27012,0,32137,30360,2532,2532,2532,7596,2532,2532,2532,7596,2532,2532,2532,7596,2532,2532,2532,7596,30384,32136,-1752,-5.45,30360
Rental of facilities and equipment,,20686902,0,21825158,21824199,1660872,1787767,2015347,5463986,1863031,1899384,1922957,5685372,1924312,2559665,1993937,6477914,2011839,1905657,1942066,5859562,23486834,21825159,1661675,7.61,21824199
Interest earned - external investments,,9855572,0,9000000,10805401,263309,245141,2857146,3365596,999727,1204088,925454,3129269,503789,3506973,162788,4173550,82640,1187203,0,1269843,11938258,9000000,2938258,32.65,10805401
Interest earned - outstanding debtors,,12301252,0,9779628,9779628,916510,1156054,1369246,3441810,935812,1076371,1169623,3181806,1023848,1208095,1153057,3385000,1186361,1217090,1285385,3688836,13697452,9779627,3917825,40.06,9779628
Dividends received,,0,0,0,15120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,15120
Fines,,58128194,0,5300675,61321605,200575,491384,827799,1519758,368111,195517,142016,705644,203444,198644,503840,905928,235050,573829,315582,1124461,4255791,5300674,-1044883,-19.71,61321605
Licences and permits,,13070476,0,12739634,12740649,487799,924053,1220112,2631964,1044241,1488001,1115613,3647855,969651,1222780,1329243,3521674,1495862,1152651,1407528,4056041,13857534,12739634,1117900,8.77,12740649
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,223348265,0,161876170,124124057,4626151,5283449,6077728,15987328,6040421,8768633,7057395,21866449,1297139,17054542,15320026,33671707,18383530,11009902,1370660,30764092,102289576,161876170,-59586594,-36.81,124124057
Other own revenue,,30262832,0,24411462,25257128,4153330,1299488,2508284,7961102,3054716,1924193,2947144,7926053,1456288,2670269,2528765,6655322,2547153,1527300,3186511,7260964,29803441,24411463,5391978,22.09,25257128
Gains on disposal of PPE,,898081,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,-250000,-100,250000
Total Revenue (excl. capital transfers and contributions),,1489943068,0,1511798367,1567203091,430776281,90424665,100164858,621365804,82483698,84863886,91185354,258532938,87421653,90054963,110001418,287478034,112134613,97237544,82976140,292348297,1459725073,1511798367,-52073294,-3.444460262470968,1567203091
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,365800433,0,434516143,419000698,29238787,29425203,29923299,88587289,29901789,45855706,40637573,116395068,30224985,31166357,30175962,91567304,30241550,30499935,41329612,102071097,398620758,434516142,-35895384,-8.26,419000698
Remuneration of councillors,,18745472,0,20452557,20452558,1579559,1580127,1561245,4720931,1572471,1582269,1580879,4735619,1580879,1580879,1581383,4743141,2439104,1668621,1667954,5775679,19975370,20452559,-477189,-2.33,20452558
Debt impairment,,49641390,0,34810100,86658298,12702,5799439,2917265,8729406,2913510,2913493,2913442,8740445,2913460,2913508,2913714,8740682,2914275,5814388,12912,8741575,34952108,34810097,142011,0.41,86658298
Depreciation and asset impairment,,190531435,0,162567656,174109125,0,26000,0,26000,-267483,0,0,-267483,0,0,0,0,0,0,0,0,-241483,162567658,-162809141,-100.15,174109125
Finance charges,,58975520,0,56833009,65820412,0,10170022,5085011,15255033,5085011,5085011,5085011,15255033,5085011,5085011,5085011,15255033,5085010,10170022,0,15255032,61020131,56833007,4187124,7.37,65820412
Bulk purchases,,496541409,0,537714494,537714495,0,62794476,59450737,122245213,35539912,37377168,36142155,109059235,35524140,39081589,39188180,113793909,44168613,39431887,44804296,128404796,473503153,537714498,-64211345,-11.94,537714495
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,66443125,0,15276943,21493844,27584,1079044,1522920,2629548,1924364,1110716,1315933,4351013,1787891,894975,1278985,3961851,1786291,5032207,2030419,8848917,19791329,15276943,4514386,29.55,21493844
Transfers and grants,,336706,0,595000,595000,0,0,0,0,0,0,0,0,0,0,0,0,0,347000,220000,567000,567000,595002,-28002,-4.71,595000
Other expenditure,,274140683,0,296747984,413338860,13701737,15101373,19820435,48623545,21336961,23819633,21974682,67131276,17294850,46961215,36512167,100768232,51385223,71755571,31746333,154887127,371410180,296747984,74662196,25.16,413338860
Loss on disposal of PPE,,2431753,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5000000
Total Expenditure,,1523587926,0,1559513886,1744183290,44560369,125975684,120280912,290816965,98006535,117743996,109649675,325400206,94411216,127683534,116735402,338830152,138020066,164719631,121811526,424551223,1379598546,1559513890,-179915344,-11.536629789171036,1744183290
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-33644858,0,-47715519,-176980199,386215912,-35551019,-20116054,330548839,-15522837,-32880110,-18464321,-66867268,-6989563,-37628571,-6733984,-51352118,-25885453,-67482087,-38835386,-132202926,80126527,-47715523,127842050,-267.9254925069144,-176980199
Transfers recognised - capital,,2696808,0,54671140,76457355,0,0,0,0,0,13645681,3546304,17191985,2591075,4283437,9424706,16299218,2337242,14844255,11437243,28618740,62109943,54671140,7438803,13.61,76457355
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-30948050,0,6955621,-100522844,386215912,-35551019,-20116054,330548839,-15522837,-19234429,-14918017,-49675283,-4398488,-33345134,2690722,-35052900,-23548211,-52637832,-27398143,-103584186,142236470,6955617,135280853,1944.9152102538137,-100522844
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-30948050,0,6955621,-100522844,386215912,-35551019,-20116054,330548839,-15522837,-19234429,-14918017,-49675283,-4398488,-33345134,2690722,-35052900,-23548211,-52637832,-27398143,-103584186,142236470,6955617,135280853,1944.9152102538137,-100522844
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-30948050,0,6955621,-100522844,386215912,-35551019,-20116054,330548839,-15522837,-19234429,-14918017,-49675283,-4398488,-33345134,2690722,-35052900,-23548211,-52637832,-27398143,-103584186,142236470,6955617,135280853,1944.9152102538137,-100522844
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-30948050,0,6955621,-100522844,386215912,-35551019,-20116054,330548839,-15522837,-19234429,-14918017,-49675283,-4398488,-33345134,2690722,-35052900,-23548211,-52637832,-27398143,-103584186,142236470,6955617,135280853,1944.9152102538137,-100522844
