Western Cape: Stellenbosch(WC024) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,191781478,0,250197143,250197143,249560998,-333154,-116242,249111602,-114535,-78831,1556366,1363000,-864751,-169305,-681861,-1715917,68483,-403987,-353439,-688943,248069742,250197143,-2127401,-0.85,250197143
Property rates - penalties and collection charges,,2364887,0,4282430,4282430,391697,221114,217343,830154,275607,265593,251043,792243,255892,239625,214995,710512,234963,235358,220968,691289,3024198,4282430,-1258232,-29.38,4282430
Service charges - electricity revenue,,404678107,0,416315160,411315160,36436766,26957530,40681283,104075579,35735310,34106947,31783250,101625507,28325028,42104535,36274947,106704510,33026015,34580149,35636023,103242187,415647783,416315160,-667377,-0.16,411315160
Service charges - water revenue,,99067144,0,103804990,100804990,7614700,3300355,7232790,18147845,7522383,7914513,9777168,25214064,10837549,12717882,13507449,37062880,13388250,12420834,11196234,37005318,117430107,103804990,13625117,13.13,100804990
Service charges - sanitation revenue,,56808957,0,57825818,60825818,46077897,1525148,1261042,48864087,1470820,586741,975106,3032667,920859,1737749,2134318,4792926,579464,721935,1852758,3154157,59843837,57825818,2018019,3.49,60825818
Service charges - refuse revenue,,34429739,0,34521949,34521949,35854101,-161852,-72165,35620084,-52579,-946938,-365789,-1365306,6079,-58206,-28091,-80218,-263717,-671179,-21511,-956407,33218153,34521949,-1303796,-3.78,34521949
Service charges - other,,26402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,14965526,0,15829220,15829220,1094425,1274527,1122325,3491277,1129625,1069654,1161088,3360367,1163482,1123328,3523875,5810685,1121697,1136208,1001635,3259540,15921869,15829220,92649,0.59,15829220
Interest earned - external investments,,30921497,0,24856018,31056018,208208,2907137,2905843,6021188,3031972,3243144,3298843,9573959,3330254,3489950,215086,7035290,3725034,3853529,3605662,11184225,33814662,24856018,8958644,36.04,31056018
Interest earned - outstanding debtors,,4783030,0,2747560,2747560,285082,480323,477243,1242648,496776,468644,520824,1486244,543082,538024,561104,1642210,571657,589804,561226,1722687,6093789,2747560,3346229,121.79,2747560
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,82633002,0,22455280,68389115,1576663,1451787,1787677,4816127,1487170,1006725,2186239,4680134,2058919,1232474,1416046,4707439,1581133,1319952,1627971,4529056,18732756,22455280,-3722524,-16.58,68389115
Licences and permits,,5900900,0,6104893,6104893,651589,429206,701113,1781908,543851,466386,716212,1726449,719372,638144,574009,1931525,612384,513298,564774,1690456,7130338,6104893,1025445,16.8,6104893
Agency services,,1844011,0,1550000,1550000,174811,93544,217741,486096,173827,113915,204963,492705,187960,188960,168590,545510,148173,167671,178279,494123,2018434,1550000,468434,30.22,1550000
Transfers recognised - operational,,88524778,0,92112230,97086875,28609751,1353859,618000,30581610,1610333,463000,21869000,23942333,38,2073355,17820464,19893857,0,772,10498,11270,74429070,92112230,-17683160,-19.2,97086875
Other own revenue,,80132153,0,24395150,26895150,1819389,1103012,1668001,4590402,1284927,1676445,1455312,4416684,1407835,919136,1074720,3401691,1600980,1564448,3377586,6543014,18951791,24395150,-5443359,-22.31,26895150
Gains on disposal of PPE,,179041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,1099040652,0,1056997841,1111606321,410356077,40602536,58701994,509660607,54595487,50355938,75389625,180341050,48891598,66775651,76775651,192442900,56394516,56028792,59458664,171881972,1054326529,1056997841,-2671312,-0.2527263440266573,1111606321
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,271495093,0,324832045,324832045,25307072,18516493,25635564,69459129,23672524,35470044,24062915,83205483,23528115,23662168,23488051,70678334,23804503,24043735,25503927,73352165,296695111,324832045,-28136934,-8.66,324832045
Remuneration of councillors,,13817294,0,14870787,15038644,1095876,1057559,1105752,3259187,1094443,1093103,1093104,3280650,1092576,1093849,1093923,3280348,1727768,1157879,1157870,4043517,13863702,14870787,-1007085,-6.77,15038644
Debt impairment,,79584776,0,14707360,20774799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14707360,-14707360,-100,20774799
Depreciation and asset impairment,,128493537,0,146163320,146163320,0,0,0,0,0,0,71728960,71728960,11702467,10555138,11669811,33927416,11250251,11834524,12574941,35659716,141316092,146163320,-4847228,-3.32,146163320
Finance charges,,11342543,0,23270726,17670726,0,0,0,0,0,0,6076092,6076092,0,0,0,0,0,0,7332920,7332920,13409012,23270726,-9861714,-42.38,17670726
Bulk purchases,,269097416,0,294007940,294007940,0,34904322,35037030,69941352,20761784,22017753,19457674,62237211,16987737,24883141,19752661,61623539,17947003,19010103,23290677,60247783,254049885,294007940,-39958055,-13.59,294007940
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,9224064,0,14251295,12386295,429866,435901,563546,1429313,568151,574377,627686,1770214,972685,1741483,1137956,3852124,750348,921819,510895,2183062,9234713,14251295,-5016582,-35.2,12386295
Transfers and grants,,5734650,0,6778550,6778550,18488,71997,80530,171015,3516262,99225,2210085,5825572,42691,85761,56736,185188,48577,42534,46211,137322,6319097,6778550,-459453,-6.78,6778550
Other expenditure,,218599692,0,282329705,322186527,4944157,12388004,15101583,32433744,16525275,17023996,19002261,52551532,19353024,15642417,19117511,54112952,18390072,22027829,28437270,68855171,207953399,282329705,-74376306,-26.34,322186527
Loss on disposal of PPE,,276060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,1007665125,0,1121211728,1159838846,31795459,67374276,77524005,176693740,66138439,76278498,144258777,286675714,73679295,77663957,76316649,227659901,73918522,79038423,98854711,251811656,942841011,1121211728,-178370717,-15.908745203564264,1159838846
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,91375527,0,-64213887,-48232525,378560618,-26771740,-18822011,332966867,-11542952,-25922560,-68869152,-106334664,-24787697,-10888306,459002,-35217001,-17524006,-23009631,-39396047,-79929684,111485518,-64213887,175699405,-273.6159002491159,-48232525
Transfers recognised - capital,,60928779,0,73993987,68042881,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-35,0,0,73993987,-73993987,-100,68042881
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,152304306,0,9780100,19810356,378560618,-26771740,-18822011,332966867,-11542952,-25922560,-68869152,-106334664,-24787697,-10888306,459002,-35217001,-17524006,-23009596,-39396082,-79929684,111485518,9780100,101705418,1039.9220662365415,19810356
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,152304306,0,9780100,19810356,378560618,-26771740,-18822011,332966867,-11542952,-25922560,-68869152,-106334664,-24787697,-10888306,459002,-35217001,-17524006,-23009596,-39396082,-79929684,111485518,9780100,101705418,1039.9220662365415,19810356
Attributable to minorities,,0,0,0,-33483580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-33483580
Surplus/(Deficit) attributable to municipality,,152304306,0,9780100,-13673224,378560618,-26771740,-18822011,332966867,-11542952,-25922560,-68869152,-106334664,-24787697,-10888306,459002,-35217001,-17524006,-23009596,-39396082,-79929684,111485518,9780100,101705418,1039.9220662365415,-13673224
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,152304306,0,9780100,-13673224,378560618,-26771740,-18822011,332966867,-11542952,-25922560,-68869152,-106334664,-24787697,-10888306,459002,-35217001,-17524006,-23009596,-39396082,-79929684,111485518,9780100,101705418,1039.9220662365415,-13673224
