Western Cape: Langeberg(WC026) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,32283527,0,34146310,33246310,35015904,-177284,72214,34910834,-335258,-15246,0,-350504,-2600,-32941,-3286,-38827,-14952,13021,0,-1931,34519572,34146310,373262,1.09,33246310
Property rates - penalties and collection charges,,394185,0,445710,445710,19942,29575,28569,78086,34635,33231,33564,101430,35421,26264,16791,78476,12356,11811,11807,35974,293966,445710,-151744,-34.05,445710
Service charges - electricity revenue,,240873124,0,276358260,271358260,9399255,19974086,20131632,49504973,19824540,19648712,21403129,60876381,24816420,28345422,29940575,83102417,27090925,23232953,19744401,70068279,263552050,276358260,-12806210,-4.63,271358260
Service charges - water revenue,,31001743,0,36396620,36396620,888135,1861043,2147626,4896804,2309944,2313925,2679615,7303484,3346831,3926019,4166968,11439818,3626266,3227216,2204917,9058399,32698505,36396620,-3698115,-10.16,36396620
Service charges - sanitation revenue,,12465836,0,12503830,12503830,1113935,1024662,1099851,3238448,1115118,1114642,1133198,3362958,1108664,1121894,1129225,3359783,1131311,1135220,1137679,3404210,13365399,12503830,861569,6.89,12503830
Service charges - refuse revenue,,9990670,0,10731560,10731560,891871,832383,880890,2605144,902850,888735,898193,2689778,879725,875818,907590,2663133,908067,874958,898957,2681982,10640037,10731560,-91523,-0.85,10731560
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,2053464,0,2672320,2763320,153780,153012,175384,482176,265577,177684,200795,644056,211212,287828,179979,679019,218789,177557,151763,548109,2353360,2672320,-318960,-11.94,2763320
Interest earned - external investments,,2843597,0,3513250,2813250,197907,247995,199775,645677,167778,224745,161795,554318,162386,147058,158137,467581,318744,329704,164638,813086,2480662,3513250,-1032588,-29.39,2813250
Interest earned - outstanding debtors,,2892652,0,1864690,3554390,338620,312609,312075,963304,335029,272175,286675,893879,244501,200294,229106,673901,244596,205082,296401,746079,3277163,1864690,1412473,75.75,3554390
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,10845894,0,2275480,12275480,106495,451555,462108,1020158,454578,401624,396829,1253031,494425,417011,473186,1384622,513744,422007,750611,1686362,5344173,2275480,3068693,134.86,12275480
Licences and permits,,1077339,0,1454660,1560310,159757,80412,89048,329217,95883,86542,47703,230128,93473,95624,111924,301021,95918,92153,83170,271241,1131607,1454660,-323053,-22.21,1560310
Agency services,,2489816,0,2257920,2257920,45404,44810,49562,139776,50422,47707,32769,130898,50586,45445,52102,148133,45779,46531,41556,133866,552673,2257920,-1705247,-75.52,2257920
Transfers recognised - operational,,75244784,0,77796620,84885183,22315992,3608103,1212832,27136927,877869,23386172,6447401,30711442,600920,1558006,16362290,18521216,3142917,788158,1690989,5622064,81991649,77796620,4195029,5.39,84885183
Other own revenue,,12629707,0,16446030,14842680,899564,676000,1016435,2591999,1077898,731813,733418,2543129,1105245,883992,895930,2885167,900157,701620,1132353,2734130,10754425,16446030,-5691605,-34.61,14842680
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,437086338,0,478863260,489634823,71546561,29118961,27878001,128543523,27176863,49312461,34455084,110944408,33147209,37897734,54620517,125665460,38234617,31257991,28309242,97801850,462955241,478863260,-15908019,-3.3220379028451674,489634823
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,129208325,0,148804480,151096948,11863863,11607152,11681861,35152876,11616431,11838248,9591697,33046376,11421911,11747332,11639910,34809153,11656267,11509735,11733467,34899469,137907874,148804480,-10896606,-7.32,151096948
Remuneration of councillors,,7714307,0,8403570,8403570,650851,656764,663303,1970918,656621,667672,663303,1987596,663303,663727,663302,1990332,1013853,673453,680966,2368272,8317118,8403570,-86452,-1.03,8403570
Debt impairment,,14798877,0,8240670,16240670,686724,686724,686724,2060172,686724,686724,686724,2060172,686724,686724,6686727,8060175,1353391,1353391,1353369,4060151,16240670,8240670,8000000,97.08,16240670
Depreciation and asset impairment,,20170963,0,20111840,20111840,0,0,0,0,0,0,9818894,9818894,1680185,1491675,1623204,4795064,1591827,1634279,0,3226106,17840064,20111840,-2271776,-11.3,20111840
Finance charges,,7569830,0,8049540,8049540,413527,416813,862964,1693304,416811,416809,1097223,1930843,416812,416811,1263626,2097249,416811,416813,1043300,1876924,7598320,8049540,-451220,-5.61,8049540
Bulk purchases,,184970316,0,211805400,206805400,21188626,20469083,13766608,55424317,14798034,14969155,17135223,46902412,19824344,19661237,19969524,59455105,15612671,14507652,20838642,50958965,212740799,211805400,935399,0.44,206805400
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,1179569,0,1900000,1900000,62011,135418,131676,329105,128118,124834,136812,389764,63040,293561,229928,586529,280421,150575,149078,580074,1885472,1900000,-14528,-0.76,1900000
Transfers and grants,,0,0,100000,120000,0,0,0,0,0,120000,0,120000,0,0,0,0,0,0,0,0,120000,100000,20000,20,120000
Other expenditure,,75155468,0,85356590,98712976,3732952,6696032,5555221,15984205,4091289,9483409,10463033,24037731,4093042,4853431,3841269,12787742,8408861,3707689,8150107,20266657,73076335,85356590,-12280255,-14.39,98712976
Loss on disposal of PPE,,234698,0,0,0,0,0,0,0,0,0,0,0,0,0,523,523,0,0,0,0,523,,523,0,0
Total Expenditure,,441002353,0,492772090,511440944,38598554,40667986,33348357,112614897,32394028,38306851,49592909,120293788,38849361,39814498,45918013,124581872,40334102,33953587,43948929,118236618,475727175,492772090,-17044915,-3.458985471356545,511440944
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-3916015,0,-13908830,-21806121,32948007,-11549025,-5470356,15928626,-5217165,11005610,-15137825,-9349380,-5702152,-1916764,8702504,1083588,-2099485,-2695596,-15639687,-20434768,-12771934,-13908830,1136896,-8.173915419197733,-21806121
Transfers recognised - capital,,25281609,0,21078970,24203233,763509,1642451,2818480,5224440,1295783,2355164,1555665,5206612,661858,1906497,3660725,6229080,1182940,815992,3537245,5536177,22196309,21078970,1117339,5.3,24203233
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
