Western Cape: Theewaterskloof(WC031) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,56244654,0,66084713,66084713,29926714,2963606,3015043,35905363,3299296,3330629,3194528,9824453,3343736,3396742,3377082,10117560,3343988,3359149,3947075,10650212,66497588,68909880,-2412292,-3.5,66084713
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,67163879,0,73418176,72994004,6990857,6454800,5963664,19409321,5640833,5420946,5258378,16320157,5969614,5412060,5790082,17171756,5601123,5424957,8438388,19464468,72365702,72910566,-544864,-0.75,72994004
Service charges - water revenue,,37086939,0,40136274,42708652,3208559,3495041,3120491,9824091,3218832,3299667,3562044,10080543,4701488,3988123,4173758,12863369,4361897,3413978,3485804,11261679,44029682,40136275,3893407,9.7,42708652
Service charges - sanitation revenue,,19983180,0,20247835,21256690,1586735,1569136,1626197,4782068,1629505,1631267,1675788,4936560,1645761,3686012,-31122,5300651,1911950,1638242,2107824,5658016,20677295,20247835,429460,2.12,21256690
Service charges - refuse revenue,,20722657,0,22795007,22795007,1818602,1763489,1825591,5407682,1813514,1806774,1833968,5454256,1816207,1822416,1680164,5318787,1843328,1855481,1782899,5481708,21662433,22795009,-1132576,-4.97,22795007
Service charges - other,,-2424891,0,-348608,-3500264,-229012,-445986,-191417,-866415,-239738,-278142,-265152,-783032,-275270,-281737,-558678,-1115685,-261081,-428234,-1594556,-2283871,-5049003,159000,-5208003,-3275.47,-3500264
Rental of facilities and equipment,,1936232,0,1607230,1766330,101963,109088,139222,350273,93636,93820,293204,480660,90780,68705,106570,266055,90791,93478,130462,314731,1411719,1607229,-195510,-12.16,1766330
Interest earned - external investments,,2903978,0,2482000,3000000,170366,246698,272209,689273,493567,178208,266606,938381,633612,263988,248489,1146089,607393,352245,650055,1609693,4383436,2482000,1901436,76.61,3000000
