Western Cape: Overstrand(WC032) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,134812632,0,148639614,153508614,14122179,12937678,12721230,39781087,12546335,12549323,12551633,37647291,12552697,12545991,12550032,37648720,12577053,12581716,12634346,37793115,152870213,148639614,4230599,2.85,153508614
Property rates - penalties and collection charges,,820635,0,1050000,1050000,61855,63128,61155,186138,80591,62789,60116,203496,63369,60705,61222,185296,59719,57765,54772,172256,747186,1050000,-302814,-28.84,1050000
Service charges - electricity revenue,,268361985,0,310085306,310085306,26871732,27814038,27056610,81742380,23376242,22766539,21965688,68108469,24606956,21472914,21360359,67440229,22607047,22392721,24725634,69725402,287016480,310085306,-23068826,-7.44,310085306
Service charges - water revenue,,95136107,0,95896628,95896628,7343692,7031674,7303322,21678688,7721994,8894971,9152728,25769693,13233423,10814159,10367054,34414636,9537088,8905615,7827423,26270126,108133143,95896627,12236516,12.76,95896628
Service charges - sanitation revenue,,62797583,0,63454796,63454796,5119859,5188444,5165640,15473943,5354215,5645501,5961644,16961360,7196647,6010937,5902987,19110571,6033643,5486788,5594877,17115308,68661182,63454795,5206387,8.2,63454796
Service charges - refuse revenue,,52956535,0,56130000,56130000,4690401,4716651,4715127,14122179,4723357,4722844,4725475,14171676,4719917,4725894,4738707,14184518,4733990,4739174,4817979,14291143,56769516,56130001,639515,1.14,56130000
Service charges - other,,307,0,0,0,492,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,492,,492,0,0
Rental of facilities and equipment,,7590839,0,7966160,7966160,669441,635520,497672,1802633,724709,652017,2088704,3465430,888508,633638,668400,2190546,606509,478200,670060,1754769,9213378,7966162,1247216,15.66,7966160
Interest earned - external investments,,6352240,0,6166250,6166250,348911,372286,654395,1375592,647617,619911,666381,1933909,638046,693288,897195,2228529,441574,1004178,1131240,2576992,8115022,6166250,1948772,31.6,6166250
Interest earned - outstanding debtors,,2117867,0,2288000,2288000,179433,186984,180285,546702,191609,184152,180827,556588,179945,190360,209770,580075,193320,211991,193278,598589,2281954,2288001,-6047,-0.26,2288000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,22739348,0,7965000,30875000,749689,665696,769468,2184853,810984,862861,698572,2372417,674597,614146,867117,2155860,631894,596214,23318327,24546435,31259565,7965000,23294565,292.46,30875000
Licences and permits,,1955766,0,2229000,2229000,184353,159132,175694,519179,156105,154449,143072,453626,177436,168985,184435,530856,154853,149787,163388,468028,1971689,2229000,-257311,-11.54,2229000
Agency services,,2394759,0,2479500,2479500,252971,222867,228904,704742,239170,230462,230414,700046,246044,248588,233163,727795,219399,198939,247257,665595,2798178,2479502,318676,12.85,2479500
Transfers recognised - operational,,67835316,0,58407000,61289031,20617298,517757,567535,21702590,1353130,18426032,1548724,21327886,606909,279222,14403359,15289490,379992,821341,1619643,2820976,61140942,58407001,2733941,4.68,61289031
Other own revenue,,23045556,0,23850728,18983640,1787296,1212488,1397176,4396960,2487242,1588969,1635436,5711647,1854223,1955350,3306365,7115938,1701797,1610381,3186019,6498197,23722742,21716640,2006102,9.24,18983640
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
