Western Cape: Cape Agulhas(WC033) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,39325113,0,42304130,42783260,42687929,14526,-2922,42699533,-4805,-13,88537,83719,-321216,-206,0,-321422,-1449,113564,44,112159,42573989,42304130,269859,0.64,42783260
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,69613564,0,74134060,77330060,6309272,6304979,6428648,19042899,6284655,5944214,6083095,18311964,7175447,5663717,6228401,19067565,5923676,6231059,6288798,18443533,74865961,77006769,-2140808,-2.78,77330060
Service charges - water revenue,,16950471,0,20238180,20238180,1396096,1385007,1452108,4233211,1567587,1570273,1737158,4875018,2275210,1803493,2024284,6102987,1753101,1716806,1649023,5118930,20330146,20238179,91967,0.45,20238180
Service charges - sanitation revenue,,7534105,0,8446180,8446180,712048,721453,712473,2145974,730957,729860,782614,2243431,837424,742605,734207,2314236,771227,711063,749175,2231465,8935106,8446180,488926,5.79,8446180
Service charges - refuse revenue,,10495455,0,12912240,12912240,1068185,1068307,1072411,3208903,1074401,1077727,1078429,3230557,1078950,1078214,1078710,3235874,1079519,1080096,1080409,3240024,12915358,12912240,3118,0.02,12912240
Service charges - other,,-5767343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,5177452,0,5287350,5292350,220111,324159,1092594,1636864,1006711,414305,513562,1934578,755229,513431,379892,1648552,525588,260164,-21609,764143,5984137,5287350,696787,13.18,5292350
Interest earned - external investments,,1889339,0,1666140,1741350,52590,133113,163104,348807,179920,181537,96903,458360,213103,195493,177840,586436,57070,230462,167516,455048,1848651,1666141,182510,10.95,1741350
Interest earned - outstanding debtors,,759766,0,723430,800000,70134,71455,69533,211122,72760,100399,90787,263946,90777,89004,101878,281659,98294,99058,41830,239182,995909,723430,272479,37.66,800000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1399702,0,572100,1422100,22261,58389,37018,117668,66933,58056,-15558,109431,105193,50817,71501,227511,76457,134604,184072,395133,849743,400468,449275,112.19,1422100
Licences and permits,,962722,0,1223100,1176830,107172,74240,118475,299887,98143,123685,96653,318481,-498,85074,107376,191952,71385,86312,102748,260445,1070765,1223100,-152335,-12.45,1176830
Agency services,,1254725,0,1306440,1306440,72261,3354,133026,208641,52531,135402,37708,225641,141918,3820,427290,573028,80565,125170,43869,249604,1256914,1306439,-49525,-3.79,1306440
Transfers recognised - operational,,51548897,0,47665470,52593686,8335550,-474133,80902,7942319,691114,301605,6626716,7619435,20410916,191704,6840764,27443384,508511,5677319,2288987,8474817,51479955,48729702,2750253,5.64,52593686
Other own revenue,,4078715,0,2366250,4061390,388185,258821,145883,792889,265267,251336,168376,684979,126612,273058,2546929,2946599,-161697,-462026,-895056,-1518779,2905688,2366250,539438,22.8,4061390
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,205222683,0,218845070,230104066,61441794,9943670,11503253,82888717,12086174,10888386,17384980,40359540,32889065,10690224,20719072,64298361,10782247,16003651,11679806,38465704,226012322,222610378,3401944,1.5282054819564612,230104066
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,73679157,0,78871350,75997261,5832503,5926117,6499522,18258142,6380239,9711420,6234987,22326646,4387712,5907327,5846216,16141255,6085758,6148566,6001869,18236193,74962236,82298169,-7335933,-8.91,75997261
Remuneration of councillors,,3287800,0,3510523,3510523,274215,272325,272813,819353,298559,273915,273915,846389,222698,273915,273915,770528,412039,287559,287559,987157,3423427,3510525,-87098,-2.48,3510523
Debt impairment,,2968851,0,1095000,3160000,0,0,620088,620088,206696,206696,0,413392,413392,206696,206696,826784,206696,206696,206696,620088,2480352,1095000,1385352,126.52,3160000
Depreciation and asset impairment,,10728836,0,6944959,8427020,0,0,2061163,2061163,687054,687054,0,1374108,1374110,687055,687055,2748220,687055,699294,652735,2039084,8222575,7172064,1050511,14.65,8427020
Finance charges,,1141866,0,1242060,4745587,0,0,0,0,0,0,42336,42336,0,0,0,0,0,1259231,3408324,4667555,4709891,1242058,3467833,279.2,4745587
Bulk purchases,,54260604,0,59397000,60311331,6244493,6267460,6189663,18701616,4292552,3982121,4506036,12780709,4699663,3195642,5081918,12977223,4350129,4087707,5413588,13851424,58310972,59397001,-1086029,-1.83,60311331
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,1335945,0,1430000,1285000,237805,140514,159392,537711,365040,176599,192323,733962,-551536,92166,109403,-349967,118700,141900,92416,353016,1274722,1429999,-155277,-10.86,1285000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,65098246,0,73989000,88252249,2986802,4301411,3295149,10583362,16589636,-7004240,4836901,14422297,25617472,4126715,4787032,34531219,4210088,10866971,7788203,22865262,82402140,74440920,7961220,10.69,88252249
Loss on disposal of PPE,,1266202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
