Western Cape: Swellendam(WC034) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,25223225,0,30262450,30262450,27306747,-50928,-142365,27113454,-356268,-43416,-206523,-606207,-60210,-20783,-79811,-160804,-53105,51838,-184971,-186238,26160205,30262449,-4102244,-13.56,30262450
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,50550105,0,63423000,57620969,5510585,4464393,4295590,14270568,3737030,3886420,4844955,12468405,4564472,3624643,4434946,12624061,4642193,3882579,8252762,16777534,56140568,63423001,-7282433,-11.48,57620969
Service charges - water revenue,,9364241,0,10985000,10152303,1169496,568621,850614,2588731,900387,663175,906551,2470113,1066518,921462,1035297,3023277,947776,723120,1214320,2885216,10967337,10985006,-17669,-0.16,10152303
Service charges - sanitation revenue,,11209951,0,13811600,12821198,1398209,994850,833816,3226875,1057481,811981,1060554,2930016,1083188,826682,984526,2894396,1052245,913594,1134111,3099950,12151237,13811597,-1660360,-12.02,12821198
Service charges - refuse revenue,,6135124,0,7621000,7617449,952460,631973,488316,2072749,651226,510987,673723,1835936,673482,519573,612376,1805431,666436,562264,722969,1951669,7665785,7620997,44788,0.59,7617449
Service charges - other,,0,0,10000,20000,702,92,0,794,1701,966,2793,5460,3209,7079,735,11023,6321,-3476,105,2950,20227,10000,10227,102.27,20000
Rental of facilities and equipment,,1214689,0,911500,1039370,97839,30426,172052,300317,109107,90223,123446,322776,113112,78348,116417,307877,91399,75943,98710,266052,1197022,911501,285521,31.32,1039370
Interest earned - external investments,,661663,0,450000,850000,60477,85486,54672,200635,66129,72080,90166,228375,77996,76929,126737,281662,152577,114147,563015,829739,1540411,450000,1090411,242.31,850000
Interest earned - outstanding debtors,,635918,0,1300000,1100000,-53177,34594,37875,19292,41281,49842,5854,96977,138689,181698,168354,488741,189221,168010,-26270,330961,935971,1300000,-364029,-28,1100000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,15303083,0,3269000,19864000,413755,447598,433186,1294539,421461,470420,485501,1377382,439633,529216,547787,1516636,406061,445429,439255,1290745,5479302,3269003,2210299,67.61,19864000
Licences and permits,,1341966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,1148440,0,2185000,2581900,229043,246213,339558,814814,240636,229382,331028,801046,178415,122986,-96321,205080,177115,137251,94042,408408,2229348,2185006,44342,2.03,2581900
Transfers recognised - operational,,47832180,0,49964079,61638045,8603000,681988,1241771,10526759,7015548,14504646,5933593,27453787,893314,610645,6382167,7886126,9807625,800155,0,10607780,56474452,49964078,6510374,13.03,61638045
Other own revenue,,21506145,0,1023700,1141100,129644,89256,119300,338200,108374,110257,103753,322384,90079,128386,126572,345037,139549,327344,156771,623664,1629285,1023698,605587,59.16,1141100
Gains on disposal of PPE,,20000,0,0,1104500,0,0,0,0,0,0,756000,756000,0,0,0,0,0,423081,0,423081,1179081,,1179081,0,1104500
Total Revenue (excl. capital transfers and contributions),,192146730,0,185216329,207813284,45818780,8224562,8724385,62767727,13994093,21356963,15111394,50462450,9261897,7606864,14359782,31228543,18225413,8621279,12464819,39311511,183770231,185216336,-1446105,-0.7807653640227502,207813284
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,55776356,0,66828118,63848911,4413402,4552369,4529261,13495032,4642232,4523748,6140280,15306260,4499524,4654141,4396175,13549840,4443216,4505509,4549012,13497737,55848869,66828115,-10979246,-16.43,63848911
Remuneration of councillors,,3298424,0,3526000,3526000,274869,274869,274869,824607,265342,255523,255523,776388,261280,256963,277702,795945,275299,275299,452541,1003139,3400079,3526002,-125923,-3.57,3526000
Debt impairment,,9011271,0,2765000,17265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765006,-2765006,-100,17265000
Depreciation and asset impairment,,24471231,0,8944000,8874000,0,0,2143500,2143500,0,0,2143500,2143500,0,0,0,0,2858000,0,0,2858000,7145000,8943998,-1798998,-20.11,8874000
Finance charges,,6005681,0,6136074,5662971,0,0,1375911,1375911,0,0,535408,535408,0,0,0,0,1353966,0,498873,1852839,3764158,6136074,-2371916,-38.66,5662971
Bulk purchases,,36750814,0,41847500,41847500,576890,5032479,4688068,10297437,2940622,3125976,2928292,8994890,2856365,2981544,2663379,8501288,2971253,2710817,3103493,8785563,36579178,41847503,-5268325,-12.59,41847500
Other Materials,,0,0,1518825,1461825,5899,9128,96173,111200,50351,40360,52288,142999,185201,40306,75329,300836,145945,39585,38198,223728,778763,1518824,-740061,-48.73,1461825
Contracted services,,0,0,0,0,0,176509,0,176509,0,0,0,0,0,0,-176509,-176509,0,0,0,0,0,,0,0,0
Transfers and grants,,1494500,0,1690000,1390000,0,90000,90000,180000,172500,90000,180000,442500,82500,90000,90000,262500,0,172500,160000,332500,1217500,1690000,-472500,-27.96,1390000
Other expenditure,,58569553,0,62423742,77313147,1352234,3012056,5431655,9795945,7687964,10732051,7312854,25732869,2861911,3209515,2654192,8725618,11329087,2581805,5907971,19818863,64073295,62423745,1649550,2.64,77313147
Loss on disposal of PPE,,175470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,195553300,0,195679259,221189354,6623294,13147410,18629437,38400141,15759011,18767658,19548145,54074814,10746781,11232469,9980268,31959518,23376766,10285515,14710088,48372369,172806842,195679267,-22872425,-11.68873194930764,221189354
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-3406570,0,-10462930,-13376070,39195486,-4922848,-9905052,24367586,-1764918,2589305,-4436751,-3612364,-1484884,-3625605,4379514,-730975,-5151353,-1664236,-2245269,-9060858,10963389,-10462931,21426320,-204.7831530189772,-13376070
Transfers recognised - capital,,18788889,0,11015921,28275879,0,2560864,2067432,4628296,4427133,1444915,2750297,8622345,-1486165,281127,-133129,-1338167,1693990,2017964,0,3711954,15624428,11015922,4608506,41.83,28275879
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,15382319,0,552991,14899809,39195486,-2361984,-7837620,28995882,2662215,4034220,-1686454,5009981,-2971049,-3344478,4246385,-2069142,-3457363,353728,-2245269,-5348904,26587817,552991,26034826,4708.00175771396,14899809
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,15382319,0,552991,14899809,39195486,-2361984,-7837620,28995882,2662215,4034220,-1686454,5009981,-2971049,-3344478,4246385,-2069142,-3457363,353728,-2245269,-5348904,26587817,552991,26034826,4708.00175771396,14899809
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,15382319,0,552991,14899809,39195486,-2361984,-7837620,28995882,2662215,4034220,-1686454,5009981,-2971049,-3344478,4246385,-2069142,-3457363,353728,-2245269,-5348904,26587817,552991,26034826,4708.00175771396,14899809
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,15382319,0,552991,14899809,39195486,-2361984,-7837620,28995882,2662215,4034220,-1686454,5009981,-2971049,-3344478,4246385,-2069142,-3457363,353728,-2245269,-5348904,26587817,552991,26034826,4708.00175771396,14899809
