Western Cape: Kannaland(WC041) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,11604147,0,11763260,11763260,13267544,-45762,-32455,13189327,-24858,-22311,0,-47169,-17980,0,5960,-12020,-245,-143,-106,-494,13129644,11763262,1366382,11.62,11763260
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,35308094,0,31709500,31709500,2684637,3907251,1330672,7922560,3650291,2218768,2233323,8102382,2725107,2794688,4291336,9811131,2187696,3447512,2264286,7899494,33735567,31709500,2026067,6.39,31709500
Service charges - water revenue,,12549889,0,10455740,10455740,834277,901985,543889,2280151,810787,897409,728806,2437002,1123298,1326478,719067,3168843,1145322,1802404,772392,3720118,11606114,10455738,1150376,11,10455740
Service charges - sanitation revenue,,4145831,0,6858570,6858570,3382110,123348,167189,3672647,154450,194312,187168,535930,158607,165728,111845,436180,171744,175488,89876,437108,5081865,6858574,-1776709,-25.9,6858570
Service charges - refuse revenue,,4542577,0,4432270,4432270,489610,469179,421362,1380151,415925,413022,406401,1235348,365483,381489,377526,1124498,378308,393443,329494,1101245,4841242,4432274,408968,9.23,4432270
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,243339,0,329280,329280,20787,26244,19334,66365,22220,18003,16997,57220,21235,18282,23568,63085,18616,17571,20038,56225,242895,329276,-86381,-26.23,329280
Interest earned - external investments,,1636606,0,742000,742000,0,32137,0,32137,270809,0,52817,323626,0,0,54089,54089,0,330781,53369,384150,794002,742000,52002,7.01,742000
Interest earned - outstanding debtors,,3679772,0,2164290,2164290,367699,388475,390789,1146963,309082,403398,413752,1126232,395635,396472,369330,1161437,408808,395386,409844,1214038,4648670,2164288,2484382,114.79,2164290
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3360266,0,2004940,2004940,6681,120059,4246,130986,42865,12717,296,55878,34607,32447,38092,105146,4130,19278,38816,62224,354234,2004938,-1650704,-82.33,2004940
Licences and permits,,411179,0,194200,194200,13809,9572,10746,34127,12031,14473,9490,35994,15809,13220,21759,50788,5282,10688,16010,31980,152889,194200,-41311,-21.27,194200
Agency services,,681975,0,717010,717010,0,103216,130,103346,176935,681,587,178203,0,550,173274,173824,0,151740,0,151740,607113,717012,-109899,-15.33,717010
Transfers recognised - operational,,35812488,0,37405350,37405350,0,0,0,0,0,1785848,0,1785848,10832,0,0,10832,0,0,0,0,1796680,37405351,-35608671,-95.2,37405350
Other own revenue,,6141676,0,5319100,5319100,67414,83766,55862,207042,105557,56501,15717,177775,52569,27285,79368,159222,18451,55699,75997,150147,694186,5319100,-4624914,-86.95,5319100
Gains on disposal of PPE,,129861,0,0,0,0,0,0,0,0,0,0,0,0,0,342000,342000,0,315616,0,315616,657616,,657616,0,0
Total Revenue (excl. capital transfers and contributions),,120247700,0,114095510,114095510,21134568,6119470,2911764,30165802,5946094,5992821,4065354,16004269,4885202,5156639,6607214,16649055,4338112,7115463,4070016,15523591,78342717,114095513,-35752796,-31.335847536791388,114095510
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,40746000,0,40142450,40142450,3168934,3182743,3373107,9724784,0,111026,3382712,3493738,3103067,3054713,12603360,18761140,3752599,18765,3464026,7235390,39215052,40142451,-927399,-2.31,40142450
Remuneration of councillors,,3333806,0,2620750,2620750,253698,244948,246412,745058,0,0,408840,408840,307035,358049,1440645,2105729,740427,0,673396,1413823,4673450,2620750,2052700,78.32,2620750
Debt impairment,,5232466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,13011554,0,8748300,8748300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8748300,-8748300,-100,8748300
Finance charges,,1813955,0,1178810,1178810,0,190355,0,190355,190360,0,0,190360,0,0,273204,273204,0,276370,91795,368165,1022084,1178812,-156728,-13.3,1178810
Bulk purchases,,34172283,0,25900870,25900870,0,2884000,3394998,6278998,2424785,2460451,2439678,7324914,2489976,1666667,3657532,7814175,2437896,1539498,0,3977394,25395481,25900874,-505393,-1.95,25900870
Other Materials,,0,0,3371540,3371540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371538,-3371538,-100,3371540
Contracted services,,4533697,0,0,0,-87719,0,101050,13331,353544,74860,914035,1342439,0,824196,451563,1275759,105263,325440,220325,651028,3282557,,3282557,0,0
Transfers and grants,,19631690,0,0,0,-84157,752078,521607,1189528,36135,9065,85031,130231,112207,344124,658989,1115320,62725,135589,318246,516560,2951639,,2951639,0,0
Other expenditure,,26422204,0,32193290,32193290,648427,1354065,1295114,3297606,1132107,1587352,753944,3473403,557086,1594909,2431413,4583408,790416,1361502,1994250,4146168,15500585,32193288,-16692703,-51.85,32193290
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,148897655,0,114156010,114156010,3899183,8608189,8932288,21439660,4136931,4242754,7984240,16363925,6569371,7842658,21516706,35928735,7889326,3657164,6762038,18308528,92040848,114156013,-22115165,-19.3727552485562,114156010
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-28649955,0,-60500,-60500,17235385,-2488719,-6020524,8726142,1809163,1750067,-3918886,-359656,-1684169,-2686019,-14909492,-19279680,-3551214,3458299,-2692022,-2784937,-13698131,-60500,-13637631,22541.538842975206,-60500
Transfers recognised - capital,,30820531,0,24926650,24926650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24926651,-24926651,-100,24926650
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,-2500,0,0,-2500,0,-9278,0,-9278,-11778,,-11778,0,0
Surplus/(Deficit) after capital transfers and contributions,,2170576,0,24866150,24866150,17235385,-2488719,-6020524,8726142,1809163,1750067,-3918886,-359656,-1686669,-2686019,-14909492,-19282180,-3551214,3449021,-2692022,-2794215,-13709909,24866151,-38576060,-155.13482565114322,24866150
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,2170576,0,24866150,24866150,17235385,-2488719,-6020524,8726142,1809163,1750067,-3918886,-359656,-1686669,-2686019,-14909492,-19282180,-3551214,3449021,-2692022,-2794215,-13709909,24866151,-38576060,-155.13482565114322,24866150
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
