Western Cape: Hessequa(WC042) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,55048432,0,62412084,61912084,61071855,-7609,-524478,60539768,-88247,913777,23862,849392,-2259,-22743,-15341,-40343,-8794,240221,-69589,161838,61510655,62412084,-901429,-1.44,61912084
Property rates - penalties and collection charges,,277031,0,261683,261683,15893,11639,14810,42342,19197,37819,41361,98377,50456,35743,35143,121342,30471,30539,14355,75365,337426,261683,75743,28.94,261683
Service charges - electricity revenue,,98304722,0,105057370,105057370,12586136,5546434,7902488,26035058,8161926,8079099,7488895,23729920,10763512,7806568,7845381,26415461,8620932,7568508,8340078,24529518,100709957,105057370,-4347413,-4.14,105057370
Service charges - water revenue,,22320193,0,27556157,27364434,3998545,1192503,2009417,7200465,2043196,2260327,2117398,6420921,3826704,2597376,2246013,8670093,2565123,2064490,2100799,6730412,29021891,27556157,1465734,5.32,27364434
Service charges - sanitation revenue,,12797613,0,19109142,19109142,3872458,1502282,1487010,6861750,1512152,1425457,1463236,4400845,1543203,1534499,1495566,4573268,1514107,1556795,1493058,4563960,20399823,19109142,1290681,6.75,19109142
Service charges - refuse revenue,,8780290,0,14333165,14333165,1225328,1218684,1220727,3664739,1240216,1173367,1176393,3589976,1224833,1220282,1226292,3671407,1227130,1234482,1221168,3682780,14608902,14333165,275737,1.92,14333165
Service charges - other,,6232194,0,6393955,6393955,553635,1056968,257608,1868211,788831,1025158,726658,2540647,721478,1070024,318943,2110445,241958,59593,34932,336483,6855786,6393955,461831,7.22,6393955
Rental of facilities and equipment,,3623891,0,3698489,3698489,340511,350202,268130,958843,521956,418850,336378,1277184,446638,262398,392389,1101425,301465,239805,262033,803303,4140755,3698489,442266,11.96,3698489
Interest earned - external investments,,3336129,0,2580000,2580000,343436,167598,-9359,501675,419843,181085,706190,1307118,179376,400990,130224,710590,670011,461829,902429,2034269,4553652,2580000,1973652,76.5,2580000
