Western Cape: Mossel Bay(WC043) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,82880704,0,89111107,89111667,88225836,-68191,8156,88165801,-8611,277822,35543,304754,11486,47846,41048,100380,41320,18492,64462,124274,88695209,89111107,-415898,-0.47,89111667
Property rates - penalties and collection charges,,1423868,0,1550000,1550000,123266,131025,130290,384581,148218,146766,138896,433880,130833,144248,140807,415888,141278,143748,141344,426370,1660719,1550000,110719,7.14,1550000
Service charges - electricity revenue,,303991518,0,320364687,320279816,34013151,27050200,26606672,87670023,26382430,26430390,29996529,82809349,26813241,27168617,27116886,81098744,27669818,26903207,28150038,82723063,334301179,312398997,21902182,7.01,320279816
Service charges - water revenue,,88799570,0,93852423,93906503,13050132,6291664,6707595,26049391,6828135,8034136,7177904,22040175,8091322,10182916,8107840,26382078,7698922,6995995,7118751,21813668,96285312,86940403,9344909,10.75,93906503
Service charges - sanitation revenue,,48002747,0,46607824,47508178,66131045,1262540,-923597,66469988,-564220,-1052388,-977304,-2593912,-1013611,-859337,-903202,-2776150,-783445,-1007551,-863811,-2654807,58445119,42347282,16097837,38.01,47508178
Service charges - refuse revenue,,33110818,0,32747029,33162524,0,0,3018348,3018348,3017854,3014054,3027033,9058941,3035815,3047246,3052115,9135176,3071409,3063042,3057737,9192188,30404653,32745029,-2340376,-7.15,33162524
Service charges - other,,11327628,0,12464720,14163770,3183995,2341902,2193595,7719492,617519,672005,1250397,2539921,798358,687412,1466245,2952015,1003540,853636,858926,2716102,15927530,31604973,-15677443,-49.6,14163770
Rental of facilities and equipment,,5856550,0,5988796,6474230,868544,528263,833850,2230657,367957,447011,447107,1262075,454116,646613,661391,1762120,539632,294661,480123,1314416,6569268,5988794,580474,9.69,6474230
Interest earned - external investments,,13968480,0,14010000,14226200,618599,2216579,119555,2954733,3009332,1590894,99955,4700181,3091485,1741501,1800934,6633920,1936043,1999208,79235,4014486,18303320,14010000,4293320,30.64,14226200
Interest earned - outstanding debtors,,204013,0,183275,187310,16425,15998,16660,49083,16776,16596,17116,50488,15380,15876,15467,46723,14998,16748,15629,47375,193669,183275,10394,5.67,187310
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,16998024,0,18381505,26126580,621805,171689,64960,858454,216470,213563,-463162,-33129,51214,14793648,83138,14928000,83942,7590627,1654092,9328661,25081986,18381506,6700480,36.45,26126580
Licences and permits,,5204831,0,5083973,5280220,492837,430269,475865,1398971,498980,418643,426798,1344421,519628,467658,512417,1499703,432801,461989,506962,1401752,5644847,5083974,560873,11.03,5280220
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,98295430,0,92146189,111066499,42917,3477801,7570225,11090943,12174592,7024024,8231210,27429826,3944143,4262384,8008684,16215211,4351831,5075128,27021679,36448638,91184618,92146189,-961571,-1.04,111066499
Other own revenue,,109668761,0,33283111,16717220,8461121,584356,4438009,13483486,2625250,-5319833,2420493,-274090,532769,1374241,2436103,4343113,589098,-5865297,3927653,-1348546,16203963,28783111,-12579148,-43.7,16717220
Gains on disposal of PPE,,91423,0,112000,112000,0,0,0,0,0,0,0,0,0,104582,118,104700,0,0,-118,-118,104582,112000,-7418,-6.62,112000
Total Revenue (excl. capital transfers and contributions),,819824365,0,765886639,779872717,215849673,44434095,51260183,311543951,55330682,41913683,51828515,149072880,46476179,63825451,52539991,162841621,46791187,46543633,72212702,165547522,789005974,761386640,27619334,3.6275044174665316,779872717
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,201346003,0,224738047,219550383,14767701,15640190,15748117,46156008,15059540,17042988,15893123,47995651,16963089,16355740,16132645,49451474,16195604,17365412,16666514,50227530,193830663,224738047,-30907384,-13.75,219550383
Remuneration of councillors,,8681774,0,9392434,9392434,708919,720371,727604,2156894,727604,727604,727604,2182812,727604,727604,727604,2182812,1134567,768441,768441,2671449,9193967,9392435,-198468,-2.11,9392434
Debt impairment,,29282295,0,30180000,41130000,0,0,0,0,0,0,0,0,0,12684018,0,12684018,0,4129665,165752,4295417,16979435,30180000,-13200565,-43.74,41130000
Depreciation and asset impairment,,52281502,0,55441077,60457085,0,0,12295892,12295892,4147191,4033968,4171987,12353146,5444124,3946960,4366547,13757631,4233276,4376337,26524,8636137,47042806,55441080,-8398274,-15.15,60457085
Finance charges,,2678808,0,2781097,2818830,-19472,0,60245,40773,0,52986,1204782,1257768,0,0,0,0,49448,0,1189145,1238593,2537134,2781098,-243964,-8.77,2818830
Bulk purchases,,195784342,0,223718820,220718820,0,26387180,23618553,50005733,14424315,15339759,14999285,44763359,17077543,17199109,14730071,49006723,16102883,15619804,15780294,47502981,191278796,223718819,-32440023,-14.5,220718820
Other Materials,,8553602,0,10160678,10820957,1791910,1129497,850109,3771516,817997,336062,1316741,2470800,1280919,1328619,439730,3049268,895948,647299,500091,2043338,11334922,10160680,1174242,11.56,10820957
Contracted services,,36949316,0,39532795,39888806,1642083,2697618,2868846,7208547,3794542,2450328,4293819,10538689,3254324,3258649,3084991,9597964,2559902,2847611,4766755,10174268,37519468,39532794,-2013326,-5.09,39888806
Transfers and grants,,1004781,0,1209512,1177428,189593,21068,21068,231729,189593,21068,187968,398629,189593,56141,21068,266802,21068,189593,21068,231729,1128889,1209513,-80624,-6.67,1177428
Other expenditure,,154410116,0,183520196,188582841,9657375,8919639,14932825,33509839,17659479,15322082,16827501,49809062,9673248,11198818,11602775,32474841,10339839,12261036,13786554,36387429,152181171,183520191,-31339020,-17.08,188582841
Loss on disposal of PPE,,837721,0,1126800,1253900,0,0,0,0,0,127685,0,127685,0,148713,100974,249687,0,0,2172764,2172764,2550136,1126800,1423336,126.32,1253900
Total Expenditure,,691810260,0,781801456,795791484,28738109,55515563,71123259,155376931,56820261,55454530,59622810,171897601,54610444,66904371,51206405,172721220,51532535,58205198,55843902,165581635,665577387,781801457,-116224070,-14.866187439197878,795791484
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,128014105,0,-15914817,-15918767,187111564,-11081468,-19863076,156167020,-1489579,-13540847,-7794295,-22824721,-8134265,-3078920,1333586,-9879599,-4741348,-11661565,16368800,-34113,123428587,-20414817,143843404,-704.6029557845168,-15918767
Transfers recognised - capital,,38238735,0,41332457,75182417,0,816700,1342850,2159550,4676511,10132313,2470179,17279003,829149,3270785,8004237,12104171,2417067,11422403,1793666,15633136,47175860,41332458,5843402,14.14,75182417
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000,-4500000,-100,0
Surplus/(Deficit) after capital transfers and contributions,,166252840,0,25417640,59263650,187111564,-10264768,-18520226,158326570,3186932,-3408534,-5324116,-5545718,-7305116,191865,9337823,2224572,-2324281,-239162,18162466,15599023,170604447,25417641,145186806,571.2048808935494,59263650
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,166252840,0,25417640,59263650,187111564,-10264768,-18520226,158326570,3186932,-3408534,-5324116,-5545718,-7305116,191865,9337823,2224572,-2324281,-239162,18162466,15599023,170604447,25417641,145186806,571.2048808935494,59263650
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,166252840,0,25417640,59263650,187111564,-10264768,-18520226,158326570,3186932,-3408534,-5324116,-5545718,-7305116,191865,9337823,2224572,-2324281,-239162,18162466,15599023,170604447,25417641,145186806,571.2048808935494,59263650
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,166252840,0,25417640,59263650,187111564,-10264768,-18520226,158326570,3186932,-3408534,-5324116,-5545718,-7305116,191865,9337823,2224572,-2324281,-239162,18162466,15599023,170604447,25417641,145186806,571.2048808935494,59263650
