Western Cape: George(WC044) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,154010771,0,171573053,171250213,14191611,14004620,13833604,42029835,15930248,14476689,14453196,44860133,13102349,14506405,14661187,42269941,14438500,14286143,14176266,42900909,172060818,171573053,487765,0.28,171250213
Property rates - penalties and collection charges,,3759202,0,5509120,5509120,312961,87997,80595,481553,-104822,1399136,111520,1405834,354172,357843,299465,1011480,336276,290867,346339,973482,3872349,5509120,-1636771,-29.71,5509120
Service charges - electricity revenue,,445930508,0,475716917,471916917,41329772,32491924,41224263,115045959,38429662,39860890,39130149,117420701,38676079,44967667,36625534,120269280,40513787,33475846,41031232,115020865,467756805,475716917,-7960112,-1.67,471916917
Service charges - water revenue,,91035868,0,91593508,93809508,7924146,5931773,8936212,22792131,8219798,7547733,8568512,24336043,9958037,6902247,8068768,24929052,8515052,2710105,8007879,19233036,91290262,91593508,-303246,-0.33,93809508
Service charges - sanitation revenue,,63811392,0,58051382,60838382,7014556,4547110,5755738,17317404,3571218,5321633,5354543,14247394,5486922,5523913,4491305,15502140,5428587,5505077,6419281,17352945,64419883,58051382,6368501,10.97,60838382
Service charges - refuse revenue,,40432083,0,42378730,43375730,4708974,3315055,3658243,11682272,3549489,3593720,3635755,10778964,3645627,3603927,3643636,10893190,3608057,3583552,4266236,11457845,44812271,42378730,2433541,5.74,43375730
Service charges - other,,375478,0,395530,395530,26635,26858,26034,79527,25273,24749,24659,74681,25046,23637,24086,72769,24252,24214,26082,74548,301525,395530,-94005,-23.77,395530
Rental of facilities and equipment,,2272512,0,2288900,2345300,99573,94712,107882,302167,1057936,289202,108667,1455805,98992,118615,106530,324137,85319,91227,121930,298476,2380585,2288900,91685,4.01,2345300
Interest earned - external investments,,22385592,0,18732000,18732000,1723178,1967854,1938274,5629306,1828768,2381515,1545529,5755812,1660757,2763719,1718330,6142806,2631895,1411892,2355856,6399643,23927567,18731999,5195568,27.74,18732000
