Western Cape: Oudtshoorn(WC045) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,50065106,0,61549078,61549078,61391863,11238,-28030,61375071,-12308,-1454,479848,466086,-787,-5079,0,-5866,-12156,-60567,-15546,-88269,61747022,61549457,197565,0.32,61549078
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,163062279,0,190255944,190255944,16353425,14301207,14981660,45636292,15003551,14554614,12794984,42353149,17043321,13143895,13745204,43932420,15145948,13826220,13357031,42329199,174251060,190255941,-16004881,-8.41,190255944
Service charges - water revenue,,41417688,0,47506688,47506688,3893587,3341042,4005426,11240055,3666770,4257792,3810332,11734894,7710380,4991151,3336498,16038029,4476928,3297439,3142196,10916563,49929541,47506689,2422852,5.1,47506688
Service charges - sanitation revenue,,24797012,0,28360326,28360326,26981920,61222,-379741,26663401,-141556,-56187,217148,19405,-64052,-78941,-69509,-212502,31085,160496,84746,276327,26746631,28360332,-1613701,-5.69,28360326
Service charges - refuse revenue,,13744142,0,15115888,15115888,15802828,1034,-422643,15381219,-174802,-119262,236,-293828,-143974,-125126,-73004,-342104,-16575,-126639,-127320,-270534,14474753,15115884,-641131,-4.24,15115888
Service charges - other,,-17107949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,2466681,0,2655658,2655658,147440,145700,109678,402818,172596,118500,114649,405745,120598,401283,141217,663098,228514,201316,130660,560490,2032151,2655660,-623509,-23.48,2655658
Interest earned - external investments,,1527953,0,1951500,1951500,82139,9544,74254,165937,34045,619,55247,89911,95147,-13549,17771,99369,-4139,42461,20999,59321,414538,1951500,-1536962,-78.76,1951500
Interest earned - outstanding debtors,,6415640,0,5979250,5979250,562575,592283,650927,1805785,734710,688632,817321,2240663,849783,883330,803380,2536493,806964,707568,760276,2274808,8857749,5979252,2878497,48.14,5979250
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,4945950,0,2505295,2505295,-12400,58630,122045,168275,139985,0,36170,176155,111908,111480,306963,530351,293403,156658,127305,577366,1452147,2505300,-1053153,-42.04,2505295
Licences and permits,,0,0,17069575,17069575,200,1328848,1056226,2385274,1646447,12484,1812,1660743,1831,672783,7193882,7868496,620830,2157942,1301689,4080461,15994974,17069580,-1074606,-6.3,17069575
Agency services,,4135980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,85279792,0,77260000,77260000,20755000,0,0,20755000,0,0,13269000,13269000,0,0,13517000,13517000,0,0,0,0,47541000,77260000,-29719000,-38.47,77260000
Other own revenue,,13043916,0,9567751,9567751,713633,-98528,437957,1053062,360591,382737,3955767,4699095,-2423565,446484,460954,-1516127,596322,605862,251277,1453461,5689491,9567744,-3878253,-40.53,9567751
Gains on disposal of PPE,,48200,0,1500000,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,-1500000,-100,1500000
