Western Cape: Bitou(WC047) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,100983625,102409000,100570966,-94039,-9204,100467723,-49267,0,0,-49267,508712,-2722,8487,514477,-8736,-269994,-121309,-400039,100532894,100983625,-450731,-0.45,102409000
Property rates - penalties and collection charges,,0,0,3484800,284770,317635,-157331,387349,547653,430529,397263,405536,1233328,40900,135937,121776,298613,141956,120121,105433,367510,2447104,3484800,-1037696,-29.78,284770
Service charges - electricity revenue,,0,0,106850700,108791223,10080735,9846377,9317599,29244711,8656810,7346460,8654097,24657367,10926603,9064501,8497663,28488767,10180683,9062366,8637305,27880354,110271199,106850700,3420499,3.2,108791223
Service charges - water revenue,,0,0,36224300,49619900,6161924,2819754,2774996,11756674,2984622,3208641,2923412,9116675,4016480,4256482,3937312,12210274,3796575,3639839,3436287,10872701,43956324,36224300,7732024,21.34,49619900
Service charges - sanitation revenue,,0,0,38714900,56642758,37537603,-24119,19742,37533226,172230,-114630,9906,67506,-13512,-4099,154287,136676,151368,-13902,-20647,116819,37854227,38714900,-860673,-2.22,56642758
Service charges - refuse revenue,,0,0,26479200,33919700,23180566,2886979,-172876,25894669,142647,135840,425,278912,-182,1423,-40026,-38785,52374,-7979,-11886,32509,26167305,26479200,-311895,-1.18,33919700
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,1322400,1320590,127025,109257,110217,346499,120443,107277,109725,337445,111596,121986,124903,358485,134242,121148,121062,376452,1418881,1322400,96481,7.3,1320590
Interest earned - external investments,,0,0,2639440,3911040,62908,288324,257908,609140,427046,537192,383602,1347840,603847,314837,284194,1202878,174573,1266911,791937,2233421,5393279,2639440,2753839,104.33,3911040
Interest earned - outstanding debtors,,0,0,0,2425968,0,0,0,0,0,0,0,0,198985,246199,255055,700239,259552,263040,244548,767140,1467379,,1467379,0,2425968
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,5300000,30590600,450618,552209,475601,1478428,451351,615589,627067,1694007,531034,972797,936913,2440744,431916,682969,543007,1657892,7271071,5300000,1971071,37.19,30590600
Licences and permits,,0,0,73500,43500,2622,1767,1892,6281,3420,17761,8904,30085,4002,1163,889,6054,889,1847,3443,6179,48599,73500,-24901,-33.88,43500
Agency services,,0,0,1438720,1085236,5501,334532,4950,344983,159121,65309,108809,333239,-754407,1122094,-156600,211087,-14782,0,313055,298273,1187582,1438720,-251138,-17.46,1085236
Transfers recognised - operational,,0,0,116966000,101961537,1636025,17543315,695507,19874847,2434015,15281760,3434502,21150277,9038260,10823366,21592923,41454549,6937799,11144139,0,18081938,100561611,116966000,-16404389,-14.02,101961537
Other own revenue,,0,0,6186050,8259784,1550645,542446,445616,2538707,1479290,555396,409479,2444165,641938,648437,-182646,1107729,498063,576440,180303,1254806,7345407,6186050,1159357,18.74,8259784
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,446663635,501265606,181684773,34649471,14309297,230643541,17412257,28153858,17075464,62641579,25854256,27702401,35535130,89091787,22736472,26586945,14222538,63545955,445922862,446663635,-740773,-0.16584582714014764,501265606
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,145380938,144806069,10408039,10417510,11837214,32662763,10746124,15799162,11560646,38105932,12175151,11349782,10879797,34404730,9595478,12204406,10643573,32443457,137616882,145380938,-7764056,-5.34,144806069
Remuneration of councillors,,0,0,5032400,5047100,385512,385512,385512,1156536,345125,310996,310996,967117,610380,434612,411562,1456554,570490,400762,395684,1366936,4947143,5032400,-85257,-1.69,5047100
Debt impairment,,0,0,15920000,36289451,1326667,1326667,1326667,3980001,1326667,1326667,1326667,3980001,1326667,1326667,1326667,3980001,2179151,2179151,0,4358302,16298305,15920000,378305,2.38,36289451
Depreciation and asset impairment,,0,0,22820875,18555070,1901739,1901739,1901739,5705217,1901739,1901739,1901739,5705217,1902088,-1236465,1555159,2220782,1432317,1626073,0,3058390,16689606,22820875,-6131269,-26.87,18555070
Finance charges,,0,0,13836740,14357907,0,0,0,0,0,740871,6630080,7370951,0,0,0,0,0,693222,2300340,2993562,10364513,13836740,-3472227,-25.09,14357907
Bulk purchases,,0,0,79693587,79693587,363972,10748627,8944654,20057253,6655332,5784275,5922897,18362504,7790134,6695593,5504799,19990526,5994530,5354000,5458392,16806922,75217205,79693587,-4476382,-5.62,79693587
Other Materials,,0,0,3237440,3721262,77115,110023,256128,443266,469652,215856,279415,964923,221757,256696,442442,920895,159476,418607,391734,969817,3298901,3237440,61461,1.9,3721262
Contracted services,,0,0,19572917,25639987,416565,904445,1936103,3257113,2217860,1123961,2199183,5541004,1390522,1243430,3356636,5990588,1599672,1928850,3773072,7301594,22090299,19572917,2517382,12.86,25639987
Transfers and grants,,0,0,2700000,4270000,896000,25930,32153,954083,931807,31130,1000,963937,13000,0,763000,776000,456000,0,459660,915660,3609680,2700000,909680,33.69,4270000
Other expenditure,,0,0,131213298,171739696,1862210,4707918,4480382,11050510,6707567,7238971,7169515,21116053,12311521,13356333,17548936,43216790,13997893,15918815,18807429,48724137,124107490,131213298,-7105808,-5.42,171739696
Loss on disposal of PPE,,0,0,80000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,-80000,-100,80000
