Western Cape: Knysna(WC048) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,143965714,0,159457000,159457000,160319205,-810075,-702123,158807007,-576364,-142932,-27692,-746988,-197719,-87032,222892,-61859,-37965,-23379,603010,541666,158539826,159457000,-917174,-0.58,159457000
Property rates - penalties and collection charges,,3064682,0,2803750,2803750,238613,236832,234526,709971,405445,219666,323983,949094,298310,270540,259469,828319,253326,233680,232289,719295,3206679,2803750,402929,14.37,2803750
Service charges - electricity revenue,,181657311,0,194107900,188213340,21312983,12796183,14932749,49041915,15372494,16209227,9770306,41352027,22266756,14245529,14895519,51407804,15016239,15112557,16732961,46861757,188663503,193213390,-4549887,-2.35,188213340
Service charges - water revenue,,44044005,0,49227180,48903410,15782435,2780178,2442466,21005079,2977789,3259442,2789670,9026901,5044793,3279580,3208049,11532422,3236251,3105632,2721752,9063635,50628037,48903510,1724527,3.53,48903410
Service charges - sanitation revenue,,10789567,0,11464260,11468710,11433800,-46623,-157983,11229194,-8510,33179,65184,89853,-16512,102322,54991,140801,146715,121073,89121,356909,11816757,11468870,347887,3.03,11468710
Service charges - refuse revenue,,14035212,0,15352400,15352400,15798937,-74450,-332692,15391795,-123461,7330,-189920,-306051,-53186,22432,15619,-15135,16086,36893,-93435,-40456,15030153,15352400,-322247,-2.1,15352400
Service charges - other,,2011732,0,2434370,2197230,74376,71587,229921,375884,578032,173052,-2612650,-1861566,300736,10832,221285,532853,194053,120865,232993,547911,-404918,3647940,-4052858,-111.1,2197230
Rental of facilities and equipment,,4137807,0,5029700,5029700,121479,2697928,342464,3161871,270547,468383,337220,1076150,380387,322933,353895,1057215,324808,304137,430945,1059890,6355126,5029700,1325426,26.35,5029700
Interest earned - external investments,,5944216,0,2346030,2346030,208500,193301,422005,823806,484938,163928,378463,1027329,649088,397733,545845,1592666,607700,433317,427620,1468637,4912438,2346030,2566408,109.39,2346030
Interest earned - outstanding debtors,,3617396,0,3250000,3250000,287003,342451,291669,921123,420007,406400,402405,1228812,402323,418449,426273,1247045,419477,404429,415091,1238997,4635977,3250000,1385977,42.65,3250000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,45207835,0,15111300,78111300,1310124,1408190,1360607,4078921,1215379,1471057,1766981,4453417,1836438,2008013,2116428,5960879,1366751,1843475,1542543,4752769,19245986,15111300,4134686,27.36,78111300
Licences and permits,,1643085,0,1997550,1998690,142480,132097,137662,412239,149917,126303,89757,365977,150553,154498,161371,466422,125489,131751,141567,398807,1643445,1997550,-354105,-17.73,1998690
Agency services,,2160828,0,1800000,1800000,218957,185947,211459,616363,217009,181594,191165,589768,212806,212613,191828,617247,197015,190002,220710,607727,2431105,1800000,631105,35.06,1800000
Transfers recognised - operational,,88557952,0,68844000,91990000,18316105,5484876,2471403,26272384,1335708,2225617,15838528,19399853,477099,2399755,17681440,20558294,3289944,5545551,9920950,18756445,84986976,68844000,16142976,23.45,91990000
Other own revenue,,7750359,0,3291000,3341000,255389,414842,359584,1029815,662904,1288297,105696,2056897,1361480,451097,179278,1991855,362559,202638,1351700,1916897,6995464,3291000,3704464,112.56,3341000
Gains on disposal of PPE,,327260,0,250000,250000,356,359,362,1077,297261,6448,115,303824,26116,117,119,26352,120,1875,122,2117,333370,250000,83370,33.35,250000
Total Revenue (excl. capital transfers and contributions),,558914961,0,536766440,616512560,245820742,25813623,22244079,293878444,23679095,26096991,29229211,79005297,33139468,24209411,40534301,97883180,25518568,27764496,34969939,88253003,559019924,536766440,22253484,4.1458411595180955,616512560
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,156407125,0,173706054,172338199,13130370,13174630,13244067,39549067,13242643,20942876,13305366,47490885,14776165,13375917,13115766,41267848,14623569,13628889,12533785,40786243,169094043,173706054,-4612011,-2.66,172338199
Remuneration of councillors,,6239932,0,6665000,6665000,525549,528302,526277,1580128,527161,526277,526277,1579715,526216,527290,527290,1580796,527290,529315,679784,1736389,6477028,6665000,-187972,-2.82,6665000
Debt impairment,,45393671,0,25195514,88195514,2370218,2370218,1555925,6296361,2098787,2098787,2098787,6296361,2098787,2098787,2098787,6296361,2098787,1944161,2263483,6306431,25195514,25195514,0,0,88195514
Depreciation and asset impairment,,22233910,0,28198600,28198600,2351026,2350123,2350123,7051272,2350072,2349812,2349839,7049723,2349817,2349714,2349321,7048852,2349220,2349220,2350313,7048753,28198600,28198600,0,0,28198600
Finance charges,,14487940,0,18500000,14500000,0,0,0,0,1815255,0,4486718,6301973,0,-2182383,2522740,340357,0,0,4173737,4173737,10816067,18500000,-7683933,-41.53,14500000
Bulk purchases,,123964075,0,137236000,129236000,86831,17355791,14845305,32287927,8942112,9147509,8598732,26688353,9618028,9326234,8275414,27219676,9031120,8809419,23954251,41794790,127990746,137236000,-9245254,-6.74,129236000
Other Materials,,20056527,0,16842650,21348355,360324,1460202,318433,2138959,1362696,536792,1281549,3181037,1817633,2007098,2646700,6471431,1332720,1585826,5201058,8119604,19911031,16842650,3068381,18.22,21348355
Contracted services,,18694210,0,22940730,22754930,328984,624342,1627131,2580457,2347004,1579385,1575810,5502199,2684862,2083115,2676738,7444715,1868598,2365585,4686092,8920275,24447646,22940730,1506916,6.57,22754930
Transfers and grants,,5000692,0,5514000,5464000,665282,448373,374745,1488400,369333,380918,415644,1165895,574952,367333,800333,1742618,394333,580032,2000,976365,5373278,5514000,-140722,-2.55,5464000
Other expenditure,,150987929,0,105949086,124651056,7041547,10482634,17999321,35523502,5908479,7435236,8402042,21745757,5043277,9536321,9895445,24475043,8928275,11219939,23646402,43794616,125538918,105949086,19589832,18.49,124651056
Loss on disposal of PPE,,561843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,564027854,0,540747634,613351654,26860131,48794615,52841327,128496073,38963542,44997592,43040764,127001898,39489737,39489426,44908534,123887697,41153912,43012386,79490905,163657203,543042871,540747634,2295237,0.4244562260997336,613351654
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-5112893,0,-3981194,3160906,218960611,-22980992,-30597248,165382371,-15284447,-18900601,-13811553,-47996601,-6350269,-15280015,-4374233,-26004517,-15635344,-15247890,-44520966,-75404200,15977053,-3981194,19958247,-501.3130985327518,3160906
Transfers recognised - capital,,39272470,0,39484000,50790300,2251332,2671625,5649965,10572922,4673583,-1787001,2337900,5224482,1449303,935305,4188012,6572620,3183177,6088823,5446257,14718257,37088281,39484000,-2395719,-6.07,50790300
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,-4589070,0,0,0,0,0,0,0,0,0,0,0,0,0,-30000,-30000,0,0,0,0,-30000,,-30000,0,0
Surplus/(Deficit) after capital transfers and contributions,,29570507,0,35502806,53951206,221211943,-20309367,-24947283,175955293,-10610864,-20687602,-11473653,-42772119,-4900966,-14344710,-216221,-19461897,-12452167,-9159067,-39074709,-60685943,53035334,35502806,17532528,49.3834994338194,53951206
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,29570507,0,35502806,53951206,221211943,-20309367,-24947283,175955293,-10610864,-20687602,-11473653,-42772119,-4900966,-14344710,-216221,-19461897,-12452167,-9159067,-39074709,-60685943,53035334,35502806,17532528,49.3834994338194,53951206
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,29570507,0,35502806,53951206,221211943,-20309367,-24947283,175955293,-10610864,-20687602,-11473653,-42772119,-4900966,-14344710,-216221,-19461897,-12452167,-9159067,-39074709,-60685943,53035334,35502806,17532528,49.3834994338194,53951206
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,29570507,0,35502806,53951206,221211943,-20309367,-24947283,175955293,-10610864,-20687602,-11473653,-42772119,-4900966,-14344710,-216221,-19461897,-12452167,-9159067,-39074709,-60685943,53035334,35502806,17532528,49.3834994338194,53951206
