Western Cape: Laingsburg(WC051) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,2874500,2530000,2913098,10552,-49712,2873938,-3177,5459,-103023,-100741,5323,5015,5180,15518,5150,-23081,-4774,-22705,2766010,2874500,-108490,-3.77,2530000
Property rates - penalties and collection charges,,0,0,63400,60000,18350,17794,17226,53370,18492,24317,22530,65339,21670,21604,21449,64723,21383,20382,20350,62115,245547,63400,182147,287.3,60000
Service charges - electricity revenue,,0,0,10346300,9057600,891192,870731,773598,2535521,770552,763005,712027,2245584,851333,744232,724900,2320465,770604,723205,724552,2218361,9319931,10346300,-1026369,-9.92,9057600
Service charges - water revenue,,0,0,2059400,1559900,231115,174858,180061,586034,192315,209389,201303,603007,240743,314646,194402,749791,179109,174653,68523,422285,2361117,1984300,376817,18.99,1559900
Service charges - sanitation revenue,,0,0,2120500,1731100,269298,150704,148614,568616,150934,149562,151588,452084,149883,149496,149343,448722,149584,149541,126350,425475,1894897,2126900,-232003,-10.91,1731100
Service charges - refuse revenue,,0,0,1823300,1634400,152052,156173,152993,461218,154321,153789,156501,464611,151336,114556,138155,404047,140939,137537,121356,399832,1729708,1823000,-93292,-5.12,1634400
Service charges - other,,0,0,88300,311100,39365,9929,2745,52039,2925,7533,1682,12140,3086,2795,2355,8236,5527,2215,6449,14191,86606,88600,-1994,-2.25,311100
Rental of facilities and equipment,,0,0,880600,833800,86573,86480,74452,247505,114182,85736,102125,302043,87503,86302,94065,267870,90672,89094,63101,242867,1060285,880600,179685,20.4,833800
Interest earned - external investments,,0,0,492600,466500,13547,26701,51981,92229,48155,29587,38655,116397,39885,32081,0,71966,0,0,50504,50504,331096,492600,-161504,-32.79,466500
Interest earned - outstanding debtors,,0,0,167200,158300,18276,45328,24531,88135,9772,21474,21615,52861,23031,12945,15187,51163,21166,16161,15406,52733,244892,167200,77692,46.47,158300
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,3305300,3130000,392749,514497,310035,1217281,400190,556275,507307,1463772,576510,648835,681108,1906453,527734,353151,623350,1504235,6091741,3305300,2786441,84.3,3130000
Licences and permits,,0,0,362600,343600,136284,75973,86164,298421,75032,70959,78872,224863,79576,126510,89356,295442,90749,66712,138984,296445,1115171,362600,752571,207.55,343600
Agency services,,0,0,100300,95000,0,0,0,0,0,6438,4482,10920,9061,15674,11984,36719,2858,13877,16587,33322,80961,100300,-19339,-19.28,95000
Transfers recognised - operational,,0,0,15656100,16778650,4584182,1129801,1148160,6862143,394403,5364154,-1244967,4513590,396404,84061,3025566,3506031,62162,68050,-75420,54792,14936556,15656100,-719544,-4.6,16778650
Other own revenue,,0,0,591800,1006837,64221,46244,94927,205392,26078,15394,28616,70088,24223,23425,23384,71032,14062,19957,6042,40061,386573,591800,-205227,-34.68,1006837
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
