Western Cape: Prince Albert(WC052) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2128647,0,2418600,2418600,792371,151795,149992,1094158,150219,150217,150219,450655,150217,150219,150219,450655,150212,157407,158955,466574,2462042,2418600,43442,1.8,2418600
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,10276250,10349250,974768,847109,846502,2668379,862694,793476,872068,2528238,854028,779647,901044,2534719,854787,791728,1078438,2724953,10456289,10276248,180041,1.75,10349250
Service charges - water revenue,,0,0,2678681,2832011,202040,190619,165335,557994,249392,240304,224174,713870,392812,245129,270315,908256,331760,217864,181975,731599,2911719,2678676,233043,8.7,2832011
Service charges - sanitation revenue,,0,0,1641416,1919016,189590,192379,194670,576639,194520,190694,188567,573781,193552,195915,187173,576640,191411,187439,186788,565638,2292698,1641420,651278,39.68,1919016
Service charges - refuse revenue,,0,0,974450,1074450,114298,128161,127829,370288,122598,56236,110080,288914,110106,112618,110260,332984,111901,109799,110342,332042,1324228,974448,349780,35.9,1074450
Service charges - other,,13876276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,279907,0,327000,327000,55980,13205,32111,101296,14698,13720,31993,60411,13931,15617,30618,60166,14742,13432,5269,33443,255316,327000,-71684,-21.92,327000
Interest earned - external investments,,541928,0,360000,700000,50908,99012,91485,241405,53000,61108,78933,193041,59760,44495,54915,159170,1667,80895,90464,173026,766642,360000,406642,112.96,700000
Interest earned - outstanding debtors,,562568,0,500000,600000,51267,53396,54213,158876,56338,55614,483,112435,119982,61479,62861,244322,64247,65874,66192,196313,711946,500004,211942,42.39,600000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,12579551,0,2683000,7523000,63412,514740,614000,1192152,469419,327658,785,797862,270891,1213,132580,404684,1485,728446,1132,731063,3125761,2682996,442765,16.5,7523000
Licences and permits,,256394,0,1200000,1200000,101552,113311,138477,353340,95636,105641,103144,304421,83153,138251,133586,354990,110016,106535,101570,318121,1330872,1200000,130872,10.91,1200000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,22581250,0,29092950,25136364,5538333,0,473484,6011817,1413956,1235990,17766410,20416356,-3874847,-6279179,3791808,-6362218,355004,1398386,1455285,3208675,23274630,29092956,-5818326,-20,25136364
Other own revenue,,963321,0,215300,1221300,401190,25950,-341428,85712,12579,11449,13690,37718,8592,9400,16806,34798,19156,21547,18265,58968,217196,215304,1892,0.88,1221300
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,526,0,0,1521,1521,2047,,2047,0,0
Total Revenue (excl. capital transfers and contributions),,53769842,0,52367647,55300991,8535709,2329677,2546670,13412056,3695049,3242107,19540546,26477702,-1617823,-4525196,5842711,-300308,2206388,3879352,3456196,9541936,49131386,52367652,-3236266,-6.179895176510874,55300991
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,10887286,0,13143759,12524474,916933,931197,899240,2747370,1158451,1323978,869434,3351863,745609,899553,900172,2545334,934440,938831,1156197,3029468,11674035,13143756,-1469721,-11.18,12524474
Remuneration of councillors,,2309463,0,2450000,2450000,191497,191497,188243,571237,191497,191497,191497,574491,174546,196379,191497,562422,287812,212887,201717,702416,2410566,2450004,-39438,-1.61,2450000
