Western Cape: Beaufort West(WC053) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,22792230,0,24363900,24363900,24501048,1410,-2111,24500347,6002,-720,-11632,-6350,3801,190509,-36070,158240,-60589,0,-3649,-64238,24587999,24363900,224099,0.92,24363900
Property rates - penalties and collection charges,,399873,0,620000,620000,25997,35935,36745,98677,56053,47544,40102,143699,41151,39522,38754,119427,37461,37990,36555,112006,473809,620000,-146191,-23.58,620000
Service charges - electricity revenue,,56620589,0,67167200,67057700,3067485,6083669,5808241,14959395,5294762,5456579,5139564,15890905,6059003,5192639,5239072,16490714,5515868,5401130,6800923,17717921,65058935,67167200,-2108265,-3.14,67057700
Service charges - water revenue,,12149823,0,12695334,12393504,67282,864000,1140330,2071612,1510419,961017,1204356,3675792,1468639,840478,1093080,3402197,1123682,1502431,1071960,3698073,12847674,12695334,152340,1.2,12393504
Service charges - sanitation revenue,,10730841,0,11670360,11293510,2190241,863184,851565,3904990,831049,847067,846665,2524781,849133,867231,854856,2571220,846372,845329,841537,2533238,11534229,11670360,-136131,-1.17,11293510
Service charges - refuse revenue,,5598121,0,5959544,5820980,794146,472372,468735,1735253,466875,467277,463518,1397670,465722,470299,466420,1402441,466164,466356,462930,1395450,5930814,5959544,-28730,-0.48,5820980
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,814984,0,845026,803755,114936,74207,72964,262107,111982,73628,71215,256825,70711,105589,107976,284276,77440,66623,106133,250196,1053404,845026,208378,24.66,803755
Interest earned - external investments,,1011727,0,1060000,1060000,1095,2130,195395,198620,12409,0,507449,519858,10552,297488,73988,382028,11300,0,649386,660686,1761192,1060000,701192,66.15,1060000
Interest earned - outstanding debtors,,1858351,0,1716000,1846471,224930,187413,153242,565585,161559,174736,142581,478876,160558,163353,149410,473321,145010,163620,123875,432505,1950287,1716000,234287,13.65,1846471
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,40873666,0,16119650,39959650,470963,541947,396129,1409039,529800,423688,460523,1414011,519651,467070,1054755,2041476,542945,387071,1121222,2051238,6915764,16119650,-9203886,-57.1,39959650
Licences and permits,,545598,0,648050,648150,45934,33369,38047,117350,40500,32323,21365,94188,38752,36551,40419,115722,14851,29409,30919,75179,402439,648050,-245611,-37.9,648150
Agency services,,541057,0,520000,580000,56114,58986,56030,171130,51248,52119,28570,131937,60240,47840,52565,160645,46372,36674,62495,145541,609253,520000,89253,17.16,580000
Transfers recognised - operational,,77918758,0,83795800,85354718,16796115,3373326,644215,20813656,2864883,1581848,12997000,17443731,5996913,1098774,10560000,17655687,980872,8359297,19818,9359987,65273061,83795800,-18522739,-22.1,85354718
Other own revenue,,5559679,0,5113921,3363571,282664,198670,351640,832974,1113729,416576,355013,1885318,1158911,430753,117715,1707379,399063,2371982,277033,3048078,7473749,4943921,2529828,51.17,3363571
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,237415297,0,232294785,255165909,48638950,12790618,10211167,71640735,13051270,10533682,22266289,45851241,16903737,10248096,19812940,46964773,10146811,19667912,11601137,41415860,205872609,232124785,-26252176,-11.309510098199983,255165909
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,67913859,0,74294530,72299765,5600895,5503280,5504872,16609047,5572119,8599894,5619987,19792000,5699031,5512476,5412954,16624461,5568793,5795654,6124618,17489065,70514573,74294530,-3779957,-5.09,72299765
Remuneration of councillors,,3893736,0,4448975,4448975,316148,338246,342593,996987,342592,342595,342592,1027779,342593,342593,342593,1027779,532993,361791,361793,1256577,4309122,4448975,-139853,-3.14,4448975
Debt impairment,,27217301,0,3000000,26840000,250000,250000,250000,750000,250000,250000,250000,750000,250000,250000,250000,750000,250000,250000,250000,750000,3000000,3000000,0,0,26840000
Depreciation and asset impairment,,25024465,0,15080784,15080784,1256737,1256737,1256737,3770211,1256737,1256737,1256737,3770211,1256737,1256737,1256737,3770211,1256737,1256737,1256737,3770211,15080844,15080784,60,0,15080784
Finance charges,,4086726,0,1940356,2115747,113567,-55365,125117,183319,43293,21714,646573,711580,21714,25421,123710,170845,24809,43338,594752,662899,1728643,1940356,-211713,-10.91,2115747
Bulk purchases,,46389866,0,53844000,51524000,51918,6002694,5206933,11261545,3908464,3542481,3508820,10959765,3485538,3549298,4439940,11474776,3300723,3235550,3978967,10515240,44211326,53844000,-9632674,-17.89,51524000
Other Materials,,17408268,0,21052540,21506732,127848,843451,871356,1842655,1714417,1344551,1816180,4875148,537336,2141951,615089,3294376,2874351,2535561,2302813,7712725,17724904,21052540,-3327636,-15.81,21506732
Contracted services,,11539821,0,7907040,8135132,177041,152527,595918,925486,565359,342896,650306,1558561,963657,355769,896710,2216136,454277,765914,229816,1450007,6150190,7907040,-1756850,-22.22,8135132
Transfers and grants,,60000,0,60000,60000,0,5890,8000,13890,0,0,0,0,45929,3500,0,49429,0,0,0,0,63319,60000,3319,5.53,60000
Other expenditure,,50531924,0,64016000,62469552,2212562,6400147,3103977,11716686,4733029,3688725,6825914,15247668,4210539,2203510,5118090,11532139,2712356,4939941,11835295,19487592,57984085,64016000,-6031915,-9.42,62469552
Loss on disposal of PPE,,167999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,254233965,0,245644225,264480687,10106716,20697607,17265503,48069826,18386010,19389593,20917109,58692712,16813074,15641255,18455823,50910152,16975039,19184486,26934791,63094316,220767006,245644225,-24877219,-10.127337208924818,264480687
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-16818668,0,-13349440,-9314778,38532234,-7906989,-7054336,23570909,-5334740,-8855911,1349180,-12841471,90663,-5393159,1357117,-3945379,-6828228,483426,-15333654,-21678456,-14894397,-13519440,-1374957,10.170221547638068,-9314778
Transfers recognised - capital,,21348283,0,22868200,39255844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22868200,-22868200,-100,39255844
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,-170000,-100,0
Contributed assets,,-362938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,4166677,0,9518760,29941066,38532234,-7906989,-7054336,23570909,-5334740,-8855911,1349180,-12841471,90663,-5393159,1357117,-3945379,-6828228,483426,-15333654,-21678456,-14894397,9518760,-24413157,-256.4741310843009,29941066
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,4166677,0,9518760,29941066,38532234,-7906989,-7054336,23570909,-5334740,-8855911,1349180,-12841471,90663,-5393159,1357117,-3945379,-6828228,483426,-15333654,-21678456,-14894397,9518760,-24413157,-256.4741310843009,29941066
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,4166677,0,9518760,29941066,38532234,-7906989,-7054336,23570909,-5334740,-8855911,1349180,-12841471,90663,-5393159,1357117,-3945379,-6828228,483426,-15333654,-21678456,-14894397,9518760,-24413157,-256.4741310843009,29941066
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,4166677,0,9518760,29941066,38532234,-7906989,-7054336,23570909,-5334740,-8855911,1349180,-12841471,90663,-5393159,1357117,-3945379,-6828228,483426,-15333654,-21678456,-14894397,9518760,-24413157,-256.4741310843009,29941066
