Eastern Cape: Buffalo City(BUF) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,672956899,0,796667651,813298302,47589632,77109166,72284674,196983472,70850568,69150777,69413405,209414750,69449854,68516051,68371486,206337391,53000183,69199156,70691139,192890478,805626091,795457401,10168690,1.28,813298302
Property rates - penalties and collection charges,,0,0,512260,512260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722510,-1722510,-100,512260
Service charges - electricity revenue,,1383883601,0,1511514216,1478314550,136344000,117701847,136605632,390651479,134736397,114858498,107071525,356666420,130712677,110401934,125423210,366537821,126333954,141512118,92537397,360383469,1474239189,1511514215,-37275026,-2.47,1478314550
Service charges - water revenue,,325359981,0,370613268,370613268,39967189,30241093,33451416,103659698,33413117,43061878,44658491,121133486,6317626,33430793,33273351,73021770,61930434,38597690,-2466301,98061823,395876777,370613269,25263508,6.82,370613268
Service charges - sanitation revenue,,248672891,0,271994620,287271932,21427632,20252349,34706540,76386521,26270817,25085137,27421468,78777422,26359745,26413233,11979540,64752518,26652978,26879732,2597483,56130193,276046654,252868652,23178002,9.17,287271932
Service charges - refuse revenue,,228894570,0,251704249,261244311,22100710,21670606,21845606,65616922,21963076,21910072,21966110,65839258,21821309,21571938,21528149,64921396,21694875,21670026,21867044,65231945,261609521,251704248,9905273,3.94,261244311
Service charges - other,,12149255,0,14261283,14261282,5229377,3012302,1785028,10026707,1780073,1463813,1624829,4868715,1528636,65717,244033,1838386,82654,16815,232819,332288,17066096,36453786,-19387690,-53.18,14261282
Rental of facilities and equipment,,15017944,0,17013023,17013023,756946,1543941,857855,3158742,1039779,887691,888968,2816438,2040046,821044,1093282,3954372,1378311,1122163,2143217,4643691,14573243,17013026,-2439783,-14.34,17013023
Interest earned - external investments,,96476422,0,77490885,77490885,793442,17827257,10517351,29138050,9429557,9180097,8592123,27201777,10645462,10540668,8437579,29623709,12519114,11602281,10021010,34142405,120105941,77490885,42615056,54.99,77490885
Interest earned - outstanding debtors,,27177505,0,29383152,29383152,2484726,2561990,2778292,7825008,2844346,2897925,3005360,8747631,3221245,3097013,3066187,9384445,3030320,3102220,2909370,9041910,34998994,29383151,5615843,19.11,29383152
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,5909971,0,9400009,9400009,147873,626146,461000,1235019,224734,313732,259855,798321,197158,230557,1022401,1450116,547812,294288,356919,1199019,4682475,9400008,-4717533,-50.19,9400009
Licences and permits,,14160877,0,20522708,20522708,860876,1445853,1408541,3715270,1218821,999967,936014,3154802,1257136,1287799,1203301,3748236,875713,1104777,1533209,3513699,14132007,20522711,-6390704,-31.14,20522708
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-100,0
Transfers recognised - operational,,812166736,0,825736122,929300680,259901336,25559883,-27482,285433737,16399041,17156553,235525268,269080862,23973411,4010532,179801000,207784943,44195810,22180602,26644936,93021348,855320890,828531073,26789817,3.23,929300680
Other own revenue,,586988178,0,561732183,563131284,18023716,135184039,13644590,166852345,14192901,7152982,138197056,159542939,7623610,11325178,171823105,190771893,32927829,16184975,13684126,62796930,579964107,558665714,21298393,3.81,563131284
Gains on disposal of PPE,,12083819,0,0,0,0,0,0,0,0,0,0,0,0,0,27630,27630,0,965625,0,965625,993255,,993255,0,0
Total Revenue (excl. capital transfers and contributions),,4441898649,0,4758545629,4871757646,555627455,454736472,330319043,1340682970,334363227,314119122,659560472,1308042821,305147915,291712457,627294254,1224154626,385169987,354432468,242752368,982354823,4855235240,4761340648,93894592,1.972020045224876,4871757646
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,1129245614,0,1237215012,1241125002,88196022,93500071,96390932,278087025,96325564,110260218,99390919,305976701,122660959,97111660,97734706,317507325,96294992,96774764,98037412,291107168,1192678219,1237215013,-44536794,-3.6,1241125002
Remuneration of councillors,,45261267,0,52254295,52254295,3783085,3752553,3752553,11288191,3809878,3789939,3766261,11366078,3752553,3719841,3768382,11240776,6021204,3976766,3789172,13787142,47682187,52254295,-4572108,-8.75,52254295
Debt impairment,,241010581,0,203074221,187074221,16922852,16922852,16922852,50768556,16922852,16922852,16922852,50768556,16922852,6256185,13382790,36561827,17796248,15589519,15589519,48975286,187074225,203074220,-15999995,-7.88,187074221
Depreciation and asset impairment,,644162569,0,709999995,709999995,59166667,59166667,59166668,177500002,59166666,59166667,59166666,177499999,59166666,59185140,59166666,177518472,59166666,59191554,59166666,177524886,710043359,710000001,43358,0.01,709999995
Finance charges,,65775074,0,59248068,59248068,4937339,4937339,4603490,14478168,5370309,5370309,5370312,16110930,4568340,4568340,4568340,13705020,5066932,5066932,5112263,15246127,59540245,59248069,292176,0.49,59248068
Bulk purchases,,1110464178,0,1201856097,1214784417,143484067,136354897,90152749,369991713,96974011,90092922,82811701,269878634,89217198,85147587,86331379,260696164,89323905,88336275,136249912,313910092,1214476603,1201856097,12620506,1.05,1214784417
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-100,0
Contracted services,,9742995,0,19909389,14943726,255697,1574949,894725,2725371,1694187,1443212,2768352,5905751,1210636,1531870,1312683,4055189,725873,448783,739625,1914281,14600592,19909387,-5308795,-26.66,14943726
Transfers and grants,,144957216,0,204012958,195637940,611791,13263267,18013249,31888307,14962217,26004261,22169648,63136126,27788067,20002312,11093837,58884216,17174313,20646073,19245051,57065437,210974086,204012958,6961128,3.41,195637940
Other expenditure,,1096167658,0,1059335429,1215361552,52541386,83004571,86835706,222381663,116925613,90689507,109332265,316947385,58254343,79034546,104645079,241933968,78623862,78476421,-13993707,143106576,924369592,1062130404,-137760812,-12.97,1215361552
Loss on disposal of PPE,,11041337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-100,0
Total Expenditure,,4497828489,0,4746905464,4890429216,369898906,412477166,376732924,1159108996,412151297,403739887,401698976,1217590160,383541614,356557481,382003862,1122102957,370193995,368507087,323935913,1062636995,4561439108,4749700442,-188261334,-3.9636464720020754,4890429216
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-55929840,0,11640165,-18671570,185728549,42259306,-46413881,181573974,-77788070,-89620765,257861496,90452661,-78393699,-64845024,245290392,102051669,14975992,-14074619,-81183545,-80282172,293796132,11640206,282155926,2423.9770842543508,-18671570
Transfers recognised - capital,,734502788,0,700781834,720399854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700781726,-700781726,-100,720399854
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,458860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,458860
Surplus/(Deficit) after capital transfers and contributions,,678572948,0,712421999,702187144,185728549,42259306,-46413881,181573974,-77788070,-89620765,257861496,90452661,-78393699,-64845024,245290392,102051669,14975992,-14074619,-81183545,-80282172,293796132,712421932,-418625800,-58.76093662989589,702187144
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,678572948,0,712421999,702187144,185728549,42259306,-46413881,181573974,-77788070,-89620765,257861496,90452661,-78393699,-64845024,245290392,102051669,14975992,-14074619,-81183545,-80282172,293796132,712421932,-418625800,-58.76093662989589,702187144
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,678572948,0,712421999,702187144,185728549,42259306,-46413881,181573974,-77788070,-89620765,257861496,90452661,-78393699,-64845024,245290392,102051669,14975992,-14074619,-81183545,-80282172,293796132,712421932,-418625800,-58.76093662989589,702187144
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,678572948,0,712421999,702187144,185728549,42259306,-46413881,181573974,-77788070,-89620765,257861496,90452661,-78393699,-64845024,245290392,102051669,14975992,-14074619,-81183545,-80282172,293796132,712421932,-418625800,-58.76093662989589,702187144Western Cape: Cape Town(CPT) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5546773841,0,5942512865,5964278947,442595089,576630041,484267633,1503492763,481431698,516003925,500322598,1497758221,520673357,532290529,455393837,1508357723,487716150,510535924,463034863,1461286937,5970895644,5942512863,28382781,0.48,5964278947
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,9344254592,0,10076891019,10087717019,874619397,905030645,890569265,2670219307,834327506,813008809,777416505,2424752820,812180173,778180351,787116630,2377477154,821084987,839597083,831048573,2491730643,9964179924,10072264947,-108085023,-1.07,10087717019
Service charges - water revenue,,2200279784,0,2560129866,2482036787,148578416,157486259,166981321,473045996,181844799,202280148,244747638,628872585,275826248,285938214,240820143,802584605,250397306,212407950,163026604,625831860,2530335046,2540079948,-9744902,-0.38,2482036787
Service charges - sanitation revenue,,1217518855,0,1374588663,1344607005,80848245,95723733,93211352,269783330,96724529,119024186,124562226,340310941,143587896,147733809,122469392,413791097,125010892,116272702,81698292,322981886,1346867254,1338201709,8665545,0.65,1344607005
