Province,Municipality,Name,Total Fines,Total Budget,Population
EC,EC103,Ikwezi,0,36505864,10537
FS,FS162,Kopanong,0,153686017,49171
KZN,KZN211,Vulamehlo,0,66024086,77403
KZN,KZN213,Umzumbe,0,120995278,160975
KZN,KZN233,Indaka,0,81633339,103116
KZN,KZN244,Msinga,0,59193384,177577
KZN,KZN283,Ntambanana,0,33007299,74336
KZN,KZN286,Nkandla,0,74549584,114416
KZN,KZN293,Ndwedwe,0,100068695,140820
NC,NC081,Mier,0,27507498,7003
NC,NC451,Joe Morolong,0,153169407,89530
NW,NW371,Moretele,0,308663538,186947
NW,NW375,Moses Kotane,0,469181559,242554
NW,NW381,Ratlou,0,169745436,107339
NW,NW397,Kagisano-Molopo,0,65689586,105789
NW,NW394,Greater Taung,10,216732313,177642
NW,NW382,Tswaing,11720,107161370,124218
MP,MP325,Bushbuckridge,143282,716257444,541248
MP,MP311,Victor Khanye,187906,327895984,75452
LIM,LIM475,Greater Tubatse,263137,369314724,335676
LIM,LIM367,Mogalakwena,579114,727989777,307682
EC,EC133,Inkwanca,25212,28100634,21971
MP,MP305,Lekwa,476657,440031138,115662
LIM,LIM471,Ephraim Mogale,270449,183955753,123648
NC,NC084,!Kheis,42663,28535947,16637
LIM,LIM335,Maruleng,263211,131745896,94857
FS,FS201,Moqhaka,1045155,512634280,160532
LIM,LIM352,Aganang,375552,94834053,131164
NW,NW402,Tlokwe,6179105,1070813473,162762
WC,WC047,Bitou,7271071,445922862,49162
WC,WC051,Laingsburg,6091741,42651091,8289
KZN,KZN215,Ezingoleni,0,28857505,52540
FS,FS164,Naledi,45936,54784388,24314
NC,NC064,Kamiesberg,3499,36052112,10187
NC,NC067,Khâi-Ma,2800,44596290,12465
NC,NC092,Dikgatlong,16233,124949394,46841
EC,EC132,Tsolwana,9450,53966106,33281
KZN,KZN214,uMuziwabantu,310885,132729327,96556
EC,EC138,Sakhisizwe,5953,121718441,63582
FS,FS181,Masilonyana,39867,187457432,63334
EC,EC137,Engcobo,16727,133247694,155513
NC,NC075,Renosterberg,0,19304639,10978
NC,NC074,Kareeberg,6880,46398221,11673
NC,NC066,Karoo Hoogland,5417,46098851,12588
EC,EC123,Great Kei,500,75761173,38991
NC,NC061,Richtersveld,9838,64435953,11982
KZN,KZN234,Umtshezi,77620,300599109,83153
EC,EC107,Baviaans,800,54472486,17761
FS,FS185,Nala,129670,317949266,81220
EC,EC142,Senqu,81340,177892211,134150
EC,EC144,Gariep,6449,98280761,33677
EC,EC124,Amahlathi,41096,174893771,122778
KZN,KZN291,Mandeni,116466,192185879,138078
EC,EC134,Lukhanji,192808,453062611,190723
EC,EC155,Nyandeni,44980,196680309,290390
KZN,KZN236,Imbabazane,0,87872837,113073
NC,NC086,Kgatelopele,6247,46836254,18687
LIM,LIM331,Greater Giyani,57316,229064160,244217
NW,NW393,Mamusa,73622,134890543,60355
FS,FS193,Nketoana,121750,270041203,60324
LIM,LIM365,Modimolle,24195,250969975,68513
FS,FS161,Letsemeng,0,62334878,38628
FS,FS205,Mafube,0,91373381,57876
NC,NC085,Tsantsabane,48837,108253761,35093
EC,EC102,Blue Crane Route,65912,173616476,36002
NC,NC094,Phokwane,115850,190741563,63000
NC,NC082,Kai !Garib,61193,170951775,65869
NC,NC077,Siyathemba,38428,76327160,21591
KZN,KZN226,Mkhambathini,2050,65960491,63142
KZN,KZN221,uMshwathi,66729,121250948,106374
FS,FS195,Phumelela,46554,113202340,47772
EC,EC108,Kouga,1783411,564349812,98558
LIM,LIM473,Makhuduthamaga,98525,240924439,274358
EC,EC153,Ingquza Hill,307321,151839678,278481
EC,EC136,Emalahleni,107783,146285261,119460
FS,FS182,Tokologo,53520,76129460,28986
KZN,KZN224,Impendle,5650,47243084,33105
NC,NC078,Siyancuma,341359,90733077,37076
KZN,KZN253,eMadlangeni,172856,64301012,34442
FS,FS194,Maluti-a-Phofung,606524,850961424,335784
NC,NC062,Nama Khoi,147093,190240723,47041
EC,EC127,Nkonkobe,38800,176219324,127115
MP,MP314,Emakhazeni,8492206,187409171,47216
EC,EC156,Mhlontlo,178325,144965701,188226
NC,NC065,Hantam,74856,63909020,21578
KZN,KZN274,Hlabisa,90972,52696104,71925
BU,BUF,Buffalo City,4682475,4855235240,755200
EC,EC131,Inxuba Yethemba,425551,157888863,65560
NW,NW384,Ditsobotla,184608,270453279,168902
FS,FS203,Ngwathe,655491,447317532,120520
KZN,KZN227,Richmond,14892,66029285,65793
NMA,NMA,Nelson Mandela Bay,10666793,7818963664,1152115
MP,MP301,Albert Luthuli,247235,144800449,186010
NC,NC083,//Khara Hais,513478,529173751,93494
MP,MP312,Emalahleni,4438362,1873252930,395466
EC,EC157,King Sabata Dalindyebo,957996,721443159,451710
EC,EC135,Intsika Yethu,123710,103396597,145372
EC,EC105,Ndlambe,606110,280810538,61176
KZN,KZN434,Ubuhlebezwe,363318,74714824,101691
FS,FS183,Tswelopele,166270,117716058,47625
EC,EC443,Mbizana,873259,199805718,281905
EC,EC143,Maletswai,316670,108832556,43800
KZN,KZN262,uPhongolo,119928,154674104,127238
MP,MP316,Dr JS Moroka,188100,312624880,249705
NW,NW372,Madibeng,954129,1256960703,477381
EC,EC101,Camdeboo,81893,211876637,50993
EC,EC104,Makana,69153,360328545,80390
FS,FS184,Matjhabeng,3583557,1953209671,406461
LIM,LIM362,Lephalale,780,56299380,115767
GT,GT484,Merafong City,2977979,921530032,197520
FS,FS196,Mantsopa,18960,181201198,51056
LIM,LIM364,Mookgophong,6097,106818831,35640
MP,MP321,Thaba Chweu,1931499,418445573,98387
LIM,LIM344,Makhado,1326226,618781035,516031
NC,NC093,Magareng,61854,50835952,24204
KZN,KZN242,Nquthu,706968,119710785,165307
NC,NC453,Gamagara,228196,694228046,41617
EC,EC154,Port St Johns,33860,103523986,156136
WC,WC014,Saldanha Bay,2186073,705189438,99193
EC,EC126,Ngqushwa,190063,92852823,72190
KZN,KZN265,Nongoma,73743,117782918,194908
KZN,KZN245,Umvoti,214949,234236338,103093
LIM,LIM332,Greater Letaba,112335,47146714,212701
EC,EC128,Nxuba,48650,41980912,24264
NW,NW374,Kgetlengrivier,744510,139514882,51049
EC,EC121,Mbhashe,379209,146611791,254909
MP,MP323,Umjindi,119730,210193930,67156
LIM,LIM355,Lepelle-Nkumpi,658207,259721465,230350
MP,MP304,Pixley Ka Seme,121056,248508438,83235
EC,EC141,Elundini,86612,215295588,138141
KZN,KZN435,Umzimkhulu,683812,147797406,180302
KZN,KZN271,uMhlabuyalingana,959850,134358876,156736
LIM,LIM361,Thabazimbi,370964,209718478,85234
LIM,LIM333,Greater Tzaneen,5693744,818857821,390095
KZN,KZN433,Greater Kokstad,686660,257927559,65981
KZN,KZN235,Okhahlamba,313781,129205681,132068
JHB,JHB,Johannesburg,1133821281,39670109304,4434827
MP,MP302,Msukaligwa,4827940,434063816,149377
MP,MP324,Nkomazi,9735815,615313518,393030
KZN,KZN254,Dannhauser,257934,61926916,102161
MP,MP306,Dipaleseng,156284,165557623,42390
FS,FS191,Setsoto,143569,423533108,112597
EC,EC109,Kou-Kamma,671554,125846868,40663
KZN,KZN252,Newcastle,6675429,1499517017,363236
