,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
BUF,5909971,0,9400009,9400009,147873,626146,461000,1235019,224734,313732,259855,798321,197158,230557,1022401,1450116,547812,294288,356919,1199019,4682475,9400008,-4717533,-50.19,9400009
CPT,729138879,0,175647643,916392626,17161628,16278800,16685546,50125974,18913588,19889170,20256832,59059590,431160036,272070619,120707236,823937891,119932851,106337969,121796741,348067561,1281191016,175647646,1105543370,629.41,916392626
EC101,438392,0,223975,223975,5912,10224,8898,25034,6337,7700,8550,22587,11375,3985,2723,18083,4531,6237,5421,16189,81893,223975,-142082,-63.44,223975
EC102,80425,0,95040,80000,5623,8313,6503,20439,7676,7587,3660,18923,7000,5750,7700,20450,3050,2000,1050,6100,65912,95044,-29132,-30.65,80000
EC103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
EC104,655711,0,1041306,1041306,11580,0,8567,20147,13600,750,7727,22077,1850,1898,7727,11475,7727,7727,0,15454,69153,1041306,-972153,-93.36,1041306
EC105,432880,0,680000,680000,44220,29050,31750,105020,42390,25650,34600,102640,51800,34550,97750,184100,62100,49700,102550,214350,606110,680324,-74214,-10.91,680000
EC106,2012548,0,2804699,600000,57766,29758,2149,89673,28421,65597,12086,106104,15772,37891,5292,58955,26160,5251,58299,89710,344442,2804700,-2460258,-87.72,600000
EC107,9250,0,10000,2000,0,0,500,500,0,1100,0,1100,-1100,300,0,-800,0,0,0,0,800,9996,-9196,-92,2000
EC108,357247,0,8094208,8180915,146892,201481,187014,535387,162629,31132,140651,334412,49800,195760,224862,470422,158183,121474,163533,443190,1783411,8094210,-6310799,-77.97,8180915
EC109,656437,0,636000,795091,20250,43330,88007,151587,0,24750,33241,57991,67250,57998,91820,217068,81928,76480,86500,244908,671554,636000,35554,5.59,795091
EC121,626813,0,919476,919476,0,44050,4900,48950,12600,8000,12600,33200,0,61367,0,61367,97300,43047,95345,235692,379209,919476,-540267,-58.76,919476
EC122,1372010,0,1646010,1646009,0,135450,0,135450,110800,11950,249050,371800,217900,84250,223400,525550,4750,167907,185650,358307,1391107,1646004,-254897,-15.49,1646009
EC123,11200,0,23320,23320,500,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,500,23316,-22816,-97.86,23320
EC124,37581,0,569352,302352,3008,5927,3228,12163,3203,4998,2975,11176,3569,4616,4126,12311,1931,2750,765,5446,41096,569352,-528256,-92.78,302352
EC126,274395,0,1440000,1440000,36950,5050,7460,49460,8000,3975,1500,13475,4900,10459,31829,47188,26333,30846,22761,79940,190063,1440000,-1249937,-86.8,1440000
EC127,196955,0,300000,156050,1900,0,950,2850,850,500,0,1350,1900,9150,4760,15810,11090,2600,5100,18790,38800,300000,-261200,-87.07,156050
EC128,223500,0,38763,39000,1800,3150,1600,6550,1600,1300,800,3700,1600,6650,6400,14650,11500,4800,7450,23750,48650,38763,9887,25.51,39000
EC131,295478,0,183698,183698,17760,34444,8644,60848,3097,270534,3051,276682,24460,26960,9027,60447,27574,0,0,27574,425551,183698,241853,131.66,183698
EC132,4402,0,500000,500000,500,1250,300,2050,3000,500,0,3500,0,3500,0,3500,0,400,0,400,9450,500000,-490550,-98.11,500000
EC133,0,0,62219,62219,1100,2895,0,3995,0,0,0,0,0,0,21217,21217,0,0,0,0,25212,62220,-37008,-59.48,62219
EC134,183828,0,347690,347690,44912,4356,27674,76942,17810,21232,14026,53068,18150,13984,13131,45265,6325,5976,5232,17533,192808,347690,-154882,-44.55,347690
EC135,407506,0,250000,250000,44411,22250,15837,82498,15600,12312,0,27912,0,0,0,0,0,0,13300,13300,123710,249997,-126287,-50.52,250000
EC136,115439,0,113300,113300,22807,10263,9211,42281,4561,1316,1667,7544,15429,8400,16246,40075,7800,483,9600,17883,107783,113304,-5521,-4.87,113300
EC137,12050,0,100000,100000,0,0,0,0,300,1750,2000,4050,2750,3300,3077,9127,500,2750,300,3550,16727,100000,-83273,-83.27,100000
EC138,8669,0,0,0,0,193,84,277,0,0,0,0,439,1175,4062,5676,0,0,0,0,5953,1323996,-1318043,-99.55,0
EC141,588667,0,56899,2350560,6229,1956,6951,15136,5544,12341,10325,28210,4525,6381,8891,19797,3151,7594,12724,23469,86612,56904,29708,52.21,2350560
EC142,34000,0,63600,63600,450,2400,5600,8450,5860,14650,10750,31260,19550,950,7650,28150,3700,5950,3830,13480,81340,63600,17740,27.89,63600
EC143,246349,0,231780,231780,39,3054,65,3158,2450,74,68,2592,0,161207,80,161287,71749,42192,35692,149633,316670,231780,84890,36.63,231780
EC144,14443,0,19896,19896,238,1097,41,1376,1213,73,1629,2915,429,57,78,564,757,793,44,1594,6449,19866,-13417,-67.54,19896
EC153,150000,0,800000,800000,37200,26950,20621,84771,23400,0,57500,80900,34200,28100,15600,77900,19600,8500,35650,63750,307321,800000,-492679,-61.58,800000
EC154,296600,0,48106,48106,900,1800,900,3600,900,0,4000,4900,14360,10400,0,24760,0,600,0,600,33860,48106,-14246,-29.61,48106
EC155,59100,0,50000,50000,5700,1450,2300,9450,15280,4600,500,20380,1800,3950,4500,10250,550,850,3500,4900,44980,50000,-5020,-10.04,50000
EC156,183379,0,163680,163680,8500,9500,12700,30700,3000,4700,41900,49600,23635,13385,18085,55105,20885,22035,0,42920,178325,163679,14646,8.95,163680
EC157,1351313,0,3954000,2453944,43200,92960,39232,175392,-96878,97570,43816,44508,227610,74242,276084,577936,75802,30406,53952,160160,957996,3953966,-2995970,-75.77,2453944
EC441,3672275,0,451050,2201050,97906,101639,193320,392865,212600,243602,149750,605952,201277,149835,175430,526542,-169861,53866,-36781,-152776,1372583,451056,921527,204.3,2201050
EC442,7011338,0,800000,400000,43175,-23250,21900,41825,40521,34300,53950,128771,59355,59355,49100,167810,24902,24902,29720,79524,417930,800000,-382070,-47.76,400000
EC443,356259,0,527401,1327401,77828,104877,72783,255488,89061,59606,101018,249685,144452,46965,64751,256168,26526,44971,40421,111918,873259,527400,345859,65.58,1327401
EC444,605789,0,1000000,1011632,111050,111050,0,222100,0,0,0,0,0,0,0,0,0,0,0,0,222100,999996,-777896,-77.79,1011632
EKU,167705348,0,253115614,253115614,9499144,7805016,10966805,28270965,13524253,14001029,20365964,47891246,16364270,16377748,17215263,49957281,15054627,17540101,11755453,44350181,170469673,253115615,-82645942,-32.65,253115614
ETH,248510818,0,113756074,113756074,5106318,11530645,-182522,16454441,5300278,6864098,3819578,15983954,6042291,6816911,7566522,20425724,2583370,8249453,4433570,15266393,68130512,113756075,-45625563,-40.11,113756074
FS161,48520,0,95286,95286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95286,-95286,-100,95286
FS162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
FS163,874540,0,3000000,3000000,1400,49650,31350,82400,55900,2500,1100,59500,40150,28550,51500,120200,2350,4300,-3550,3100,265200,3000000,-2734800,-91.16,3000000
FS164,921,0,1956,921,5000,0,4600,9600,1800,0,1800,3600,3700,28036,1000,32736,0,0,0,0,45936,1960,43976,2243.67,921
FS181,16005,0,247500,27000,1491,3289,2105,6885,3860,439,0,4299,13640,2719,7105,23464,2851,877,1491,5219,39867,247500,-207633,-83.89,27000
FS182,54600,0,93298,93298,3000,6250,450,9700,4650,6820,2750,14220,8200,8750,4550,21500,2550,5550,0,8100,53520,93298,-39778,-42.64,93298
FS183,299000,0,375000,410000,11800,8650,20550,41000,8700,6700,2100,17500,19700,18610,19250,57560,10260,12200,27750,50210,166270,375000,-208730,-55.66,410000
FS184,3915269,0,6892000,6891925,502226,401947,394789,1298962,168599,135146,217759,521504,105743,267817,887719,1261279,136080,158925,206807,501812,3583557,6891925,-3308368,-48,6891925
FS185,70130,0,0,71000,13500,2600,6900,23000,1450,3400,6300,11150,10430,6950,24520,41900,16500,0,37120,53620,129670,,129670,0,71000
FS191,2165550,0,291600,155086,19050,10909,17880,47839,6240,6240,4300,16780,19900,12900,15300,48100,16300,0,14550,30850,143569,291600,-148031,-50.77,155086
FS192,5059929,0,11890398,11890398,1955555,158927,1417205,3531687,316843,360205,494027,1171075,560930,468414,874262,1903606,493748,597547,11537,1102832,7709200,11890398,-4181198,-35.16,11890398
