Province,Municipality,Name,Total Fines,Total Budget,Percentage of Budget
EC,BUF,Buffalo City,6189902,3821892881,0.1619590656
WC,CPT,Cape Town,130644534,25151994133,0.5194201832
EC,EC101,Camdeboo,69760,190569152,0.0366061344
EC,EC102,Blue Crane Route,97426,171736047,0.0567300818
EC,EC103,Ikwezi,0,35009010,0
EC,EC104,Makana,243944,292129745,0.0835053616
EC,EC105,Ndlambe,406074,270836284,0.1499333819
EC,EC106,Sundays River Valley,441849,104485391,0.4228811279
EC,EC107,Baviaans,9250,48510946,0.0190678615
EC,EC108,Kouga,283290,530275172,0.0534232065
EC,EC109,Kou-Kamma,681937,110337796,0.6180447904
EC,EC121,Mbhashe,458777,97663543,0.4697525667
EC,EC122,Mnquma,1284845,199312581,0.6446381827
EC,EC123,Great Kei,12200,66591230,0.0183207308
EC,EC124,Amahlathi,44983,150428813,0.0299031808
EC,EC126,Ngqushwa,48150,108709493,0.04429236
EC,EC127,Nkonkobe,138929,177448456,0.0782925944
EC,EC128,Nxuba,30750,48846783,0.0629519451
EC,EC131,Inxuba Yethemba,4257634,1525066784,0.2791768888
EC,EC132,Tsolwana,5502,84016789,0.0065486911
EC,EC133,Inkwanca,40003,43031431,0.0929622815
EC,EC134,Lukhanji,163846,527731921,0.0310472028
EC,EC135,Intsika Yethu,387502,221525985,0.1749239485
EC,EC136,Emalahleni,48621,153701048,0.0316334863
EC,EC137,Engcobo,11572,123290864,0.0093859347
EC,EC138,Sakhisizwe,12797,83566795,0.0153134986
EC,EC141,Elundini,112058,159518605,0.0702476053
EC,EC142,Senqu,33150,152494105,0.0217385452
EC,EC143,Maletswai,302483,106091991,0.2851138876
EC,EC144,Gariep,34259,67642451,0.050647189
EC,EC153,Ingquza Hill,1743080,412228803,0.4228428454
EC,EC154,Port St Johns,23910,91007213,0.0262726428
EC,EC155,Nyandeni,88850,170706096,0.052048522
EC,EC156,Mhlontlo,440666,126258427,0.3490190797
EC,EC157,King Sabata Dalindyebo,1807287,653358526,0.2766148949
EC,EC441,Matatiele,341657,221461419,0.1542738241
EC,EC442,Umzimvubu,488470,57144178,0.8548027412
EC,EC443,Mbizana,185799,235113306,0.079025302
EC,EC444,Ntabankulu,829431,62441600,1.3283307923
GT,EKU,Ekurhuleni,185723291,23896662442,0.7771934321
KZN,ETH,eThekwini,105347582,24163451214,0.4359790374
FS,FS161,Letsemeng,30780,69836390,0.0440744431
FS,FS162,Kopanong,0,202717059,0
FS,FS163,Mohokare,45090,102911560,0.0438143198
