Municipality,Name,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total
NC084,!Kheis,0,0.000316,-0.000104,0,0.00011
NC083,//Khara Hais,0.003827,0.002212,0.000888,0.001004,0.003243
KZN261,Abaqulusi,0.000606,0.000768,-0.000635,0.002854,0.002474
LIM351,Aganang,0.021889,0.002621,0.002934,0.003648,0.003505
MP301,Albert Luthuli,0.001677,0.000796,0.000481,0.000024,0.000676
EC124,Amahlathi,0.00208,0.000068,0,0.000283,0.000829
LIM331,Ba-Phalaborwa,0.0008,0.000095,0.000251,0.00008,0.000393
EC107,Baviaans,0.000126,0.000284,0.000142,0.000125,0.000125
WC053,Beaufort West,0.094759,0.04665,0.048889,0.058768,0.054177
LIM361,Bela-Bela,0,0.000916,0.000497,-0.001145,0.002132
WC013,Bergrivier,0.007095,0.005056,0.003383,0.005488,0.003677
WC047,Bitou,0.024354,0.00628,0.042392,0.011072,0.014474
LIM352,Blouberg,0,0,0,0,0.002895
EC102,Blue Crane Route,0.000908,0.000523,0.000427,0.000453,0.000754
WC025,Breede Valley,0.027943,0.023108,0.01903,0.021115,0.019987
BUF,Buffalo City,0.003928,0.001329,0.001032,0.001592,0.001507
MP325,Bushbuckridge,0.343669,0,0.002475,0.000021,0.002711
EC101,Camdeboo,0.000334,0.000203,0.000396,0.000664,0.000468
WC033,Cape Agulhas,0.003941,0.001606,0.002478,0.003731,0.00364
CPT,Cape Town,0.004648,0.004387,0.00652,0.005292,0.005543
WC012,Cederberg,0.015226,0.008072,0.008726,0.003705,0.014143
KZN252,Dannhauser,0.002402,0.001125,0.002194,0.002184,0.001625
FS192,Dihlabeng,0.016698,0.01245,0.004315,0.014131,0.006518
NC092,Dikgatlong,0.00146,0,0.000043,0.000041,0.000453
MP306,Dipaleseng,0.002653,0.001635,0.002436,0.001356,0.00147
NW384,Ditsobotla,0.001797,0.001455,0.001919,0.000513,0.004117
MP316,Dr JS Moroka,0.006605,0.000507,0.000699,0.000342,0.000994
WC023,Drakenstein,0.002765,0.001897,0.004756,0.004932,0.003264
KZN262,eDumbe,0.004879,0.000565,0.002206,0.003018,0.002029
EKU,Ekurhuleni,0.008956,0.006351,0.007262,0.009126,0.00847
LIM471,Elias Motsoaledi,0.002314,0.000749,0.000493,0.000963,0.001076
EC141,Elundini,0.001744,0.000284,0.000975,0.000349,0.000723
KZN253,eMadlangeni,0.002486,0.001069,0.001045,0.000496,0.001948
MP314,Emakhazeni,0.138252,0.00103,0.001934,0.001114,0.012364
EC136,Emalahleni,0.000024,0,0.000926,0.000136,0.000124
MP312,Emalahleni,0.001294,0.00233,0.002198,0.002325,0.001546
GT421,Emfuleni,0.007513,0.004954,0.004747,0.003254,0.007196
KZN232,Emnambithi/Ladysmith,0.035709,0.003347,0.010258,0.011482,0.009575
NC073,Emthanjeni,0.007409,0.01147,0.007915,0.026863,0.031598
KZN241,Endumeni,0.003047,0.001628,0.001753,0.001904,0.002299
EC137,Engcobo,0.000605,0.000061,0.00007,0.000042,0.001522
LIM472,Ephraim Mogale,0.00747,0.001899,0.001284,0.001194,0.002636
ETH,eThekwini,0.010503,-0.007082,0.012932,0.002933,0.003726
KZN211,Ezingoleni,0,0,0,0,0
LIM473,Fetakgomo,0.000553,0.00016,0.000088,0.000051,0.000048
NC452,Ga-Segonyana,0.110141,0.010747,0.009269,0.005359,0.016239
NC453,Gamagara,0.001083,0.000785,0.000178,0.0003,0.000539
