Municipality,Year,Budget,Adjusted Budget,Q1 – Sep,Q2 – Dec,Q3 – Mar,Q4 – Jun
NC071,2013,19089500,19089500,1388368,5163742,2728009,1878146
NC071,2014,19568500,19568500,2800181,2589258,2310452,N/A
NC071,2012,16000000,16000000,1203360,2202095,2202101,1095120
WC051,2014,1754800,3130000,859551,847523,837249,N/A
WC051,2013,2200000,1800000,280685,586276,715125,739846
WC051,2012,600000,1305000,117350,460771,552717,306000
WC053,2014,12495060,14042000,3350099,2363217,2807107,N/A
WC047,2014,4107000,5307000,1407136,2320080,696702,N/A
WC024,2014,11141820,22663087,4600924,7227123,5208118,N/A
WC053,2013,10427050,10412550,2236118,2161207,2390373,3324947
WC048,2014,11369000,11369000,2914617,2946959,2837484,N/A
NW401,2012,8001000,4000500,1145051,2267616,1502207,901004
GT422,2012,11020000,11020000,1749625,3560918,3269279,3175715
GT422,2014,9000000,14000000,3692913,3497264,3039669,N/A
WC031,2014,8019000,13032000,3538207,3793272,2026067,N/A
NW401,2014,4501500,5000100,839866,1858183,1312600,N/A
NC073,2013,7025473,7025473,655341,1367150,2750202,230328
WC053,2012,8303000,8303000,1747430,1509141,2867199,1771183
WC048,2013,3506000,7091000,1719988,1825580,3587427,3714718
NC073,2012,9524237,8524238,910981,1111169,2331200,1954792
NC076,2013,698825,698825,51166,402539,431650,128339
KZN222,2014,12242341,13352000,2986255,2308132,1695844,N/A
WC034,2014,1769000,3319000,869503,862352,757039,N/A
ETH,2014,108162660,108162660,-47240500,80633784,17931668,N/A
WC052,2012,3002000,3002000,288923,304578,295055,158745
JHB,2013,370176000,390216000,98214000,101920000,29982406,88546905
JHB,2012,252063000,332103000,83436106,98753924,99205619,153448256
WC032,2014,6078800,7528800,1656236,1760377,1717000,N/A
WC024,2012,16474341,16474341,3062999,3210446,3112436,3154887
WC047,2012,6002000,4753900,879678,1012502,1538984,1712729
WC032,2012,5641380,6601380,1686160,1615612,1066067,934007
GT422,2013,13020000,6020000,587066,1828032,1944921,3291605
GT481,2014,19582907,22190738,4206487,6897999,5367998,N/A
