Province,Municipality,Name,Total Fines,Total Budget,Population
EC,BUF,Buffalo City,5907929,4398673109,755200
WC,CPT,Cape Town,147067647,25193881152,3740026
EC,EC101,Camdeboo,88343,200426805,50993
EC,EC102,Blue Crane Route,80425,163170082,36002
EC,EC103,Ikwezi,0,31784072,10537
EC,EC104,Makana,403541,273496183,80390
EC,EC105,Ndlambe,432880,301528307,61176
EC,EC106,Sundays River Valley,512431,259626489,54504
EC,EC107,Baviaans,9250,48718274,17761
EC,EC108,Kouga,402543,541060513,98558
EC,EC109,Kou-Kamma,602877,109015565,40663
EC,EC121,Mbhashe,347498,99945413,254909
EC,EC122,Mnquma,3264325,676204935,252390
EC,EC123,Great Kei,11200,72840536,38991
EC,EC124,Amahlathi,43659,157799923,122778
EC,EC126,Ngqushwa,60100,124553721,72190
EC,EC127,Nkonkobe,138579,189311087,127115
EC,EC128,Nxuba,30500,52460855,24264
EC,EC131,Inxuba Yethemba,5305604,2217676061,65560
EC,EC132,Tsolwana,4402,57848174,33281
EC,EC133,Inkwanca,36224,42357667,21971
EC,EC134,Lukhanji,173028,523592863,190723
EC,EC135,Intsika Yethu,421566,266207971,145372
EC,EC136,Emalahleni,52545,158042842,119460
EC,EC137,Engcobo,12058,127161575,155513
EC,EC138,Sakhisizwe,18782,106723733,63582
EC,EC141,Elundini,78115,146660041,138141
EC,EC142,Senqu,34000,150557530,134150
EC,EC143,Maletswai,244051,106474689,43800
EC,EC144,Gariep,23986,68147259,33677
EC,EC153,Ingquza Hill,432040,155272706,278481
EC,EC154,Port St Johns,28510,90648293,156136
EC,EC155,Nyandeni,57600,163064171,290390
EC,EC156,Mhlontlo,378925,126272866,188226
EC,EC157,King Sabata Dalindyebo,1341213,592008311,451710
EC,EC441,Matatiele,2424872,216158671,203843
EC,EC442,Umzimvubu,375517,196262777,191620
EC,EC443,Mbizana,336359,212341549,281905
EC,EC444,Ntabankulu,800879,61984510,123976
GT,EKU,Ekurhuleni,179982326,24360670137,3178470
KZN,ETH,eThekwini,69190774,24862886831,3442361
FS,FS161,Letsemeng,18830,68140127,38628
FS,FS162,Kopanong,0,174653661,49171
FS,FS163,Mohokare,61990,101021914,34146
FS,FS164,Naledi,84982,73369435,24314
FS,FS181,Masilonyana,10705,211920614,63334
FS,FS182,Tokologo,55400,67338492,28986
FS,FS183,Tswelopele,121900,104205528,47625
FS,FS184,Matjhabeng,3361036,1818334427,406461
FS,FS185,Nala,5504,296539909,81220
FS,FS191,Setsoto,1010716,347625470,112597
FS,FS192,Dihlabeng,4869435,503404333,128704
FS,FS193,Nketoana,103974,216408464,60324
FS,FS194,Maluti-a-Phofung,835512,1009662019,335784
FS,FS195,Phumelela,60754,99640426,47772
FS,FS196,Mantsopa,32050,203544080,51056
FS,FS201,Moqhaka,862468,486109231,160532
FS,FS203,Ngwathe,826390,539004296,120520
FS,FS204,Metsimaholo,6061371,655331593,149108
FS,FS205,Mafube,0,99286495,57876
GT,GT421,Emfuleni,19831653,4207193466,721663
GT,GT422,Midvaal,13362856,638401300,95301
GT,GT423,Lesedi,183732,463221097,99520
GT,GT481,Mogale City,20779461,1815878610,362422
GT,GT482,Randfontein,4558930,777088323,149286
GT,GT483,Westonaria,1691911,458745993,111767
GT,GT484,Merafong City,3447579,996394988,197520
GT,JHB,Johannesburg,180974749,35268284877,4434827
KZN,KZN211,Ezingoleni,0,45452096,77403
KZN,KZN212,Hibiscus Coast,1606744,120559427,78875
KZN,KZN213,Umdoni,0,94505771,160975
KZN,KZN214,uMuziwabantu,35942,89057730,96556
KZN,KZN215,Umzumbe,200,37963535,52540
KZN,KZN216,Vulamehlo,7857743,537292929,256135
KZN,KZN221,Impendle,42084,104700090,106374
KZN,KZN222,Mkhambathini,8629184,244066492,92710
KZN,KZN223,Mpofana,281975,84138056,38103
KZN,KZN224,Msunduzi,23500,32205315,33105
KZN,KZN225,Richmond,14848883,3350499874,618536
KZN,KZN226,uMngeni,13600,95868305,63142
KZN,KZN227,uMshwathi,35450,68671964,65793
KZN,KZN232,Emnambithi/Ladysmith,3970917,495430873,237437
KZN,KZN233,Imbabazane,0,73523352,103116
KZN,KZN234,Indaka,100975,300932006,83153
KZN,KZN235,Okhahlamba,166414,95938762,132068
KZN,KZN236,Umtshezi,0,81872143,113073
KZN,KZN241,Endumeni,376022,205827644,64862
KZN,KZN242,Msinga,66650,114978421,165307
KZN,KZN244,Nquthu,0,86561314,177577
KZN,KZN245,Umvoti,595551,180097066,103093
