Province,Municipality,Name,Total Fines,Total Budget,Population
BU,BUF,Buffalo City,5909971,4441898649,755200
CPT,CPT,Cape Town,729138879,26104779478,3740026
EC,EC101,Camdeboo,438392,195911171,50993
EC,EC102,Blue Crane Route,80425,163357691,36002
EC,EC103,Ikwezi,0,38307054,10537
EC,EC104,Makana,655711,287696029,80390
EC,EC105,Ndlambe,432880,219542765,61176
EC,EC106,Sundays River Valley,2012548,122756467,54504
EC,EC107,Baviaans,9250,43586876,17761
EC,EC108,Kouga,357247,538366101,98558
EC,EC109,Kou-Kamma,656437,107555658,40663
EC,EC121,Mbhashe,626813,176137262,254909
EC,EC122,Mnquma,1372010,200209131,252390
EC,EC123,Great Kei,11200,68091690,38991
EC,EC124,Amahlathi,37581,162755212,122778
EC,EC126,Ngqushwa,274395,87061082,72190
EC,EC127,Nkonkobe,196955,185983988,127115
EC,EC128,Nxuba,223500,64853251,24264
EC,EC131,Inxuba Yethemba,295478,215828717,65560
EC,EC132,Tsolwana,4402,66070490,33281
EC,EC133,Inkwanca,0,65980942,21971
EC,EC134,Lukhanji,183828,538211997,190723
EC,EC135,Intsika Yethu,407506,207868818,145372
EC,EC136,Emalahleni,115439,162305356,119460
EC,EC137,Engcobo,12050,127060583,155513
EC,EC138,Sakhisizwe,8669,98965966,63582
EC,EC141,Elundini,588667,138737312,138141
EC,EC142,Senqu,34000,158360741,134150
EC,EC143,Maletswai,246349,115201229,43800
EC,EC144,Gariep,14443,63327053,33677
EC,EC153,Ingquza Hill,150000,223804009,278481
EC,EC154,Port St Johns,296600,99237120,156136
EC,EC155,Nyandeni,59100,172662586,290390
EC,EC156,Mhlontlo,183379,140335897,188226
EC,EC157,King Sabata Dalindyebo,1351313,689426589,451710
EC,EC441,Matatiele,3672275,234034968,203843
EC,EC442,Umzimvubu,7011338,186114837,191620
EC,EC443,Mbizana,356259,171625070,281905
EC,EC444,Ntabankulu,605789,82595916,123976
EKU,EKU,Ekurhuleni,167705348,23548606845,3178470
ETH,ETH,eThekwini,248510818,24423514180,3442361
FS,FS161,Letsemeng,48520,107427200,38628
FS,FS162,Kopanong,N/A,N/A,49171
FS,FS163,Mohokare,874540,135326569,34146
FS,FS164,Naledi,921,81365059,24314
FS,FS181,Masilonyana,16005,172964103,63334
FS,FS182,Tokologo,54600,68951804,28986
FS,FS183,Tswelopele,299000,145924150,47625
FS,FS184,Matjhabeng,3915269,1645024257,406461
FS,FS185,Nala,70130,327704697,81220
FS,FS191,Setsoto,2165550,355152031,112597
FS,FS192,Dihlabeng,5059929,566443757,128704
FS,FS193,Nketoana,94074,216406989,60324
FS,FS194,Maluti-a-Phofung,842712,927087660,335784
FS,FS195,Phumelela,64404,102589591,47772
FS,FS196,Mantsopa,491350,196163638,51056
FS,FS201,Moqhaka,N/A,N/A,160532
FS,FS203,Ngwathe,826390,539021483,120520
FS,FS204,Metsimaholo,15854941,682115826,149108
FS,FS205,Mafube,73870,160138041,57876
GT,GT421,Emfuleni,153353108,4735853249,721663
GT,GT422,Midvaal,48726013,688041369,95301
GT,GT423,Lesedi,4662647,476286311,99520
GT,GT481,Mogale City,170003359,2006543674,362422
GT,GT482,Randfontein,5209968,757273175,149286
GT,GT483,Westonaria,23578357,424990694,111767
GT,GT484,Merafong City,3365442,1388547870,197520
JHB,JHB,Johannesburg,190185000,35812493000,4434827
KZN,KZN211,Vulamehlo,0,65786582,77403
KZN,KZN212,Umdoni,1735626,136002890,78875
KZN,KZN213,Umzumbe,0,95404172,160975
KZN,KZN214,uMuziwabantu,271,3774325,96556
KZN,KZN215,Ezingoleni,200,38359054,52540
KZN,KZN216,Hibiscus Coast,8439314,624087671,256135
KZN,KZN221,uMshwathi,59707,104816646,106374
KZN,KZN222,uMngeni,24203330,257402763,92710
KZN,KZN223,Mpofana,614925,91908378,38103
KZN,KZN224,Impendle,23500,28896798,33105
KZN,KZN225,Msunduzi,102750782,3484538419,618536
KZN,KZN226,Mkhambathini,34340,60798145,63142
KZN,KZN227,Richmond,138000,81804354,65793
KZN,KZN232,Emnambithi/Ladysmith,8390210,525366664,237437
KZN,KZN233,Indaka,0,73354668,103116
KZN,KZN234,Umtshezi,62090,294154489,83153
KZN,KZN235,Okhahlamba,577407,112954413,132068
KZN,KZN236,Imbabazane,29700,85841639,113073
KZN,KZN242,Nquthu,416243,161060990,165307
KZN,KZN244,Msinga,0,80091422,177577
KZN,KZN245,Umvoti,595551,176155740,103093
KZN,KZN252,Newcastle,9022484,1456210889,363236
KZN,KZN253,eMadlangeni,57431,67588221,34442
KZN,KZN254,Dannhauser,475423,81660240,102161
KZN,KZN261,eDumbe,1602946,69774654,82053
KZN,KZN262,uPhongolo,284950,130704449,127238
KZN,KZN263,Abaqulusi,9374998,456312392,211060
KZN,KZN265,Nongoma,334063,103669523,194908
KZN,KZN266,Ulundi,5120584,210580676,188317
KZN,KZN271,uMhlabuyalingana,475700,97477222,156736
KZN,KZN272,Jozini,1199370,122223224,186502
KZN,KZN273,The Big Five False Bay,10019750,42460958,35258
KZN,KZN274,Hlabisa,68465,51597570,71925
KZN,KZN275,Mtubatuba,1531312,103120982,175425
KZN,KZN282,uMhlathuze,59985915,2307446988,334459
KZN,KZN283,Ntambanana,0,48954968,74336
KZN,KZN284,uMlalazi,15272911,253738865,213601
KZN,KZN285,Mthonjaneni,15883762,72357590,47818
KZN,KZN286,Nkandla,0,78022667,114416
KZN,KZN291,Mandeni,59103,174758086,138078
KZN,KZN292,KwaDukuza,25973087,1051410287,231187
KZN,KZN293,Ndwedwe,0,81723776,140820
KZN,KZN431,Ingwe,708878,73777269,100548
KZN,KZN433,Greater Kokstad,1262661,247663689,65981
KZN,KZN434,Ubuhlebezwe,187605,94695978,101691
KZN,KZN435,Umzimkhulu,531781,119441915,180302
LIM,LIM331,Greater Giyani,71373,201587989,244217
LIM,LIM332,Greater Letaba,651871,189190875,212701
LIM,LIM333,Greater Tzaneen,3665353,743449001,390095
LIM,LIM334,Ba-Phalaborwa,2826165,298399518,150637
LIM,LIM335,Maruleng,0,91143626,94857
LIM,LIM341,Musina,3364000,149564278,68359
LIM,LIM342,Mutale,422660,59147962,91870
LIM,LIM343,Thulamela,13144284,453106619,618462
LIM,LIM344,Makhado,1460989,569454250,516031
LIM,LIM351,Blouberg,1325343,138536643,162629
LIM,LIM352,Aganang,0,144401524,131164
LIM,LIM353,Molemole,1169180,109554429,108321
LIM,LIM354,Polokwane,12346564,1932949289,628999
LIM,LIM355,Lepelle-Nkumpi,893370,215383427,230350
LIM,LIM361,Thabazimbi,1002460,203921626,85234
LIM,LIM362,Lephalale,787211,326325171,115767
LIM,LIM364,Mookgophong,283828,113002795,35640
LIM,LIM365,Modimolle,102800,235897208,68513
LIM,LIM366,Bela-Bela,29904329,283647767,66500
LIM,LIM367,Mogalakwena,0,0,307682
LIM,LIM471,Ephraim Mogale,0,0,123648
LIM,LIM472,Elias Motsoaledi,1666250,245094723,249363
LIM,LIM473,Makhuduthamaga,156030,232910241,274358
LIM,LIM474,Fetakgomo,1129443,74724762,93795
LIM,LIM475,Greater Tubatse,0,0,335676
MAN,MAN,Mangaung,77361862,4958020941,747431
